region_cluster_id	n_raw_intervals	n_member_intervals	n_transcripts	n_genes	n_gene_symbols	total_member_bp	mean_member_len	median_member_len	min_member_len	max_member_len	representative_transcript_id	representative_gene_id	representative_transcript_name	representative_gene_symbol	representative_transcript_length	representative_start	representative_end	representative_region_len	top_gene_symbols	source_n_member_intervals	source_n_transcripts	source_n_genes	source_total_member_bp	representative_transcript_header
SR0000017	3620	86	69	3	3	31345	364.48	317.50	110	1083	ENST00000804745.1	ENSG00000304576.1	ENST00000804745	ENSG00000304576	1337	1	1083	1083	ENSG00000290598:61;LGALS17A:24;ENSG00000304576:1	86	69	3	31345	ENST00000804745.1|ENSG00000304576.1|-|-|ENST00000804745|ENSG00000304576|1337|
SR0000018	536	69	69	2	2	15220	220.58	219.00	107	267	ENST00000771249.1	ENSG00000300380.1	ENST00000771249	ENSG00000300380	1626	1091	1357	267	CIBAR1-DT:67;ENSG00000300380:2	69	69	2	15220	ENST00000771249.1|ENSG00000300380.1|-|-|ENST00000771249|ENSG00000300380|1626|
SR0000019	328	69	69	2	2	14541	210.74	180.00	175	524	ENST00000701450.2	ENSG00000291137.2	GBA1LP-235	GBA1LP	5866	2557	3080	524	GBA1LP:60;ENSG00000302966:9	69	69	2	14541	ENST00000701450.2|ENSG00000291137.2|-|-|GBA1LP-235|GBA1LP|5866|
SR0000020	1972	70	68	5	4	89624	1280.34	826.50	88	3334	ENST00000517675.2	ENSG00000253230.12	MIR124-1HG-201	MIR124-1HG	3654	1	3334	3334	MIR124-1HG:65;ENSG00000309740:2;ENSG00000309875:2;ENSG00000309891:1	70	68	5	89624	ENST00000517675.2|ENSG00000253230.12|OTTHUMG00000163734.12|OTTHUMT00000375047.1|MIR124-1HG-201|MIR124-1HG|3654|
SR0000021	520	67	67	2	2	13369	199.54	200.00	193	200	ENST00000422294.5	ENSG00000222005.10	LINC01118-203	LINC01118	1338	1132	1331	200	LINC01118:65;ENSG00000279622:2	67	67	2	13369	ENST00000422294.5|ENSG00000222005.10|OTTHUMG00000153080.3|OTTHUMT00000329426.1|LINC01118-203|LINC01118|1338|
SR0000022	304	66	66	3	3	22686	343.73	254.00	85	1236	ENST00000567527.1	ENSG00000261069.3	ENST00000567527	ENSG00000261069	1236	1	1236	1236	SNHG14:63;ENSG00000279735:2;ENSG00000261069:1	66	66	3	22686	ENST00000567527.1|ENSG00000261069.3|OTTHUMG00000176878.1|OTTHUMT00000434199.1|ENST00000567527|ENSG00000261069|1236|
SR0000023	1236	66	62	2	2	14417	218.44	178.00	92	823	ENST00000747540.1	ENSG00000236908.3	LINC02827-212	LINC02827	1405	40	862	823	ENSG00000291189:55;LINC02827:11	66	62	2	14417	ENST00000747540.1|ENSG00000236908.3|OTTHUMG00000168182.1|-|LINC02827-212|LINC02827|1405|
SR0000024	232	60	60	2	2	14015	233.58	213.00	92	585	ENST00000814995.1	ENSG00000306057.1	ENST00000814995	ENSG00000306057	1372	1	585	585	ENSG00000267079:59;ENSG00000306057:1	60	60	2	14015	ENST00000814995.1|ENSG00000306057.1|-|-|ENST00000814995|ENSG00000306057|1372|
SR0000025	1832	60	60	2	2	11456	190.93	113.00	92	636	ENST00000658877.1	ENSG00000255794.13	RMST-216	RMST	3444	375	1010	636	RMST:51;ENSG00000300902:9	60	60	2	11456	ENST00000658877.1|ENSG00000255794.13|OTTHUMG00000170148.22|OTTHUMT00000524244.1|RMST-216|RMST|3444|
SR0000026	496	59	59	3	3	5709	96.76	79.00	78	188	ENST00000747211.1	ENSG00000291189.2	ENST00000747211	ENSG00000291189	1692	26	213	188	ENSG00000291189:55;TSPAN11-AS1:2;LINC02417:2	59	59	3	5709	ENST00000747211.1|ENSG00000291189.2|-|-|ENST00000747211|ENSG00000291189|1692|
SR0000027	1168	109	59	3	3	51493	472.41	259.00	88	2238	ENST00000692073.2	ENSG00000288776.2	ENST00000692073	ENSG00000288776	2238	1	2238	2238	ENSG00000302337:100;ENSG00000288776:7;ENSG00000302225:2	109	59	3	51493	ENST00000692073.2|ENSG00000288776.2|-|-|ENST00000692073|ENSG00000288776|2238|
SR0000028	228	58	58	2	2	6688	115.31	115.00	113	130	ENST00000726392.1	ENSG00000294859.1	ENST00000726392	ENSG00000294859	317	1	130	130	LINC02223:57;ENSG00000294859:1	58	58	2	6688	ENST00000726392.1|ENSG00000294859.1|-|-|ENST00000726392|ENSG00000294859|317|
SR0000029	424	55	55	2	2	11066	201.20	187.00	93	1147	ENST00000671297.2	ENSG00000286851.2	ENST00000671297	ENSG00000286851	1147	1	1147	1147	MIR7515HG:53;ENSG00000286851:2	55	55	2	11066	ENST00000671297.2|ENSG00000286851.2|OTTHUMG00000195076.1|OTTHUMT00000524283.1|ENST00000671297|ENSG00000286851|1147|
SR0000030	1656	57	55	2	2	12587	220.82	195.00	188	392	ENST00000716227.1	ENSG00000227292.2	ENST00000716227	ENSG00000227292	1571	292	683	392	CYP1B1-AS1:48;ENSG00000227292:9	57	55	2	12587	ENST00000716227.1|ENSG00000227292.2|OTTHUMG00000152269.2|-|ENST00000716227|ENSG00000227292|1571|
SR0000031	236	53	53	3	3	6542	123.43	120.00	94	244	ENST00000656247.1	ENSG00000286069.3	ENST00000656247	ENSG00000286069	3124	1	244	244	CISTR:40;ENSG00000286069:11;ENSG00000306638:2	53	53	3	6542	ENST00000656247.1|ENSG00000286069.3|OTTHUMG00000193511.2|OTTHUMT00000526078.1|ENST00000656247|ENSG00000286069|3124|
SR0000032	572	73	52	2	2	30386	416.25	451.00	101	883	ENST00000658568.1	ENSG00000223561.9	LINC03007-211	LINC03007	1271	386	1268	883	LINC03007:70;ENSG00000286725:3	73	52	2	30386	ENST00000658568.1|ENSG00000223561.9|OTTHUMG00000152594.27|OTTHUMT00000507363.1|LINC03007-211|LINC03007|1271|
SR0000033	1464	52	52	3	3	11970	230.19	165.00	81	688	ENST00000438753.2	ENSG00000235281.3	ENST00000438753	ENSG00000235281	1392	1	688	688	LINC02645:39;ENSG00000235281:12;ENSG00000237500:1	52	52	3	11970	ENST00000438753.2|ENSG00000235281.3|OTTHUMG00000017551.6|OTTHUMT00000046447.1|ENST00000438753|ENSG00000235281|1392|
SR0000034	576	51	51	2	2	5952	116.71	92.00	85	330	ENST00000510066.5	ENSG00000250033.6	SLC7A11-AS1-201	SLC7A11-AS1	817	285	614	330	LINC00616:48;SLC7A11-AS1:3	51	51	2	5952	ENST00000510066.5|ENSG00000250033.6|OTTHUMG00000161284.2|OTTHUMT00000364383.1|SLC7A11-AS1-201|SLC7A11-AS1|817|
SR0000035	1748	66	48	2	2	18811	285.02	243.00	110	802	ENST00000660503.2	ENSG00000259203.5	ENST00000660503	ENSG00000259203	2211	48	849	802	ENSG00000259203:53;LINC02490:13	66	48	2	18811	ENST00000660503.2|ENSG00000259203.5|OTTHUMG00000172420.6|OTTHUMT00000515999.2|ENST00000660503|ENSG00000259203|2211|
SR0000036	184	47	47	2	2	7178	152.72	153.00	114	289	ENST00000554041.1	ENSG00000258663.1	ENST00000554041	ENSG00000258663	289	1	289	289	MEG3:46;ENSG00000258663:1	47	47	2	7178	ENST00000554041.1|ENSG00000258663.1|OTTHUMG00000171671.1|OTTHUMT00000414687.1|ENST00000554041|ENSG00000258663|289|
SR0000037	180	46	46	2	2	11350	246.74	131.00	100	1059	ENST00000690482.3	ENSG00000239569.6	KMT2E-AS1-211	KMT2E-AS1	2130	237	1295	1059	KMT2E-AS1:45;ENSG00000302574:1	46	46	2	11350	ENST00000690482.3|ENSG00000239569.6|OTTHUMG00000157278.2|-|KMT2E-AS1-211|KMT2E-AS1|2130|
SR0000038	560	56	45	3	3	9166	163.68	87.00	83	806	ENST00000817555.1	ENSG00000306389.1	ENST00000817555	ENSG00000306389	1067	262	1067	806	MIR9-3HG:47;ENSG00000306420:8;ENSG00000306389:1	56	45	3	9166	ENST00000817555.1|ENSG00000306389.1|-|-|ENST00000817555|ENSG00000306389|1067|
SR0000039	336	44	44	2	2	13082	297.32	291.00	167	419	ENST00000729738.1	ENSG00000234261.7	ENST00000729738	ENSG00000234261	1251	682	1100	419	ENSG00000286277:42;ENSG00000234261:2	44	44	2	13082	ENST00000729738.1|ENSG00000234261.7|OTTHUMG00000014290.8|-|ENST00000729738|ENSG00000234261|1251|
SR0000040	164	42	42	2	2	23499	559.50	564.00	375	564	ENST00000416395.6	ENSG00000293616.2	PCBP1-AS1-224	PCBP1-AS1	2457	1679	2242	564	PCBP1-AS1:41;ENSG00000305899:1	42	42	2	23499	ENST00000416395.6|ENSG00000293616.2|OTTHUMG00000153728.26|OTTHUMT00000329416.3|PCBP1-AS1-224|PCBP1-AS1|2457|
SR0000041	600	74	42	3	3	19626	265.22	205.00	145	513	ENST00000799006.1	ENSG00000304030.1	ENST00000799006	ENSG00000304030	940	1	513	513	LNCRNA-IUR:68;ENSG00000304030:5;ENSG00000304005:1	74	42	3	19626	ENST00000799006.1|ENSG00000304030.1|-|-|ENST00000799006|ENSG00000304030|940|
SR0000042	158	41	41	2	1	4223	103.00	103.00	103	103	ENST00000547590.2	ENSG00000257443.3	LRIG3-DT-201	LRIG3-DT	1546	239	341	103	LRIG3-DT:41	41	41	2	4223	ENST00000547590.2|ENSG00000257443.3|OTTHUMG00000169941.1|OTTHUMT00000406632.1|LRIG3-DT-201|LRIG3-DT|1546|
SR0000043	580	54	41	2	2	29118	539.22	610.00	84	1509	ENST00000665433.2	ENSG00000204091.9	TDRG1-212	TDRG1	1686	178	1686	1509	TDRG1:49;LINC00951:5	54	41	2	29118	ENST00000665433.2|ENSG00000204091.9|OTTHUMG00000014660.16|OTTHUMT00000506352.1|TDRG1-212|TDRG1|1686|
SR0000044	178	41	41	2	2	5582	136.15	110.00	95	280	ENST00000399206.4	ENSG00000214900.14	LINC01588-201	LINC01588	2686	54	333	280	LINC01588:39;ENSG00000300221:2	41	41	2	5582	ENST00000399206.4|ENSG00000214900.14|OTTHUMG00000171567.8|OTTHUMT00000395717.1|LINC01588-201|LINC01588|2686|
SR0000045	1162	41	39	16	7	34378	838.49	588.00	94	1998	ENST00000629626.1	ENSG00000281261.1	FAM99A-209	FAM99A	1998	1	1998	1998	LINC02708:15;FAM99A:14;ENSG00000231487:5;FAM99B:4;ENSG00000281111:1;ENSG00000281645:1;ENSG00000291436:1	41	39	16	34378	ENST00000629626.1|ENSG00000281261.1|OTTHUMG00000190089.2|OTTHUMT00000483805.1|FAM99A-209|FAM99A|1998|
SR0000046	1160	40	39	2	2	23381	584.52	574.00	323	1153	ENST00000606924.2	ENSG00000229931.4	ATXN1-AS1-203	ATXN1-AS1	5165	46	1198	1153	ATXN1-AS1:30;ENSG00000289863:10	40	39	2	23381	ENST00000606924.2|ENSG00000229931.4|OTTHUMG00000153136.1|OTTHUMT00000470976.1|ATXN1-AS1-203|ATXN1-AS1|5165|
SR0000047	860	45	38	4	4	28783	639.62	650.00	82	1332	ENST00000508145.2	ENSG00000249926.3	ENST00000508145	ENSG00000249926	1561	230	1561	1332	LINC02415:21;LINC02414:13;ENSG00000249926:9;ENSG00000279746:2	45	38	4	28783	ENST00000508145.2|ENSG00000249926.3|OTTHUMG00000168311.1|OTTHUMT00000399235.1|ENST00000508145|ENSG00000249926|1561|
SR0000048	280	38	37	3	3	6288	165.47	90.00	88	674	ENST00000659972.1	ENSG00000286955.1	ENST00000659972	ENSG00000286955	1869	1	674	674	LINC00964:35;ENSG00000286955:2;ENSG00000255313:1	38	37	3	6288	ENST00000659972.1|ENSG00000286955.1|OTTHUMG00000193921.1|OTTHUMT00000507065.1|ENST00000659972|ENSG00000286955|1869|
SR0000049	896	36	36	8	1	13085	363.47	372.00	181	611	ENST00000412919.1	ENSG00000230602.1	TSBP1-AS1-256	TSBP1-AS1	611	1	611	611	TSBP1-AS1:36	36	36	8	13085	ENST00000412919.1|ENSG00000230602.1|OTTHUMG00000149573.1|OTTHUMT00000312461.1|TSBP1-AS1-256|TSBP1-AS1|611|
SR0000050	660	36	36	2	2	11350	315.28	271.00	81	617	ENST00000770850.1	ENSG00000246662.7	CIBAR1-DT-254	CIBAR1-DT	1508	1	617	617	CIBAR1-DT:29;ENSG00000300402:7	36	36	2	11350	ENST00000770850.1|ENSG00000246662.7|OTTHUMG00000164234.1|-|CIBAR1-DT-254|CIBAR1-DT|1508|
SR0000051	238	39	36	2	2	6143	157.51	152.00	90	441	ENST00000719358.1	ENSG00000237686.9	SCIRT-240	SCIRT	441	1	441	441	SCIRT:34;ENSG00000231881:5	39	36	2	6143	ENST00000719358.1|ENSG00000237686.9|OTTHUMG00000014752.4|-|SCIRT-240|SCIRT|441|
SR0000052	136	35	35	2	2	6973	199.23	201.00	139	201	ENST00000517949.5	ENSG00000253557.7	ENST00000517949	ENSG00000253557	562	126	326	201	ENSG00000253557:34;ENSG00000254201:1	35	35	2	6973	ENST00000517949.5|ENSG00000253557.7|OTTHUMG00000163715.3|OTTHUMT00000374890.1|ENST00000517949|ENSG00000253557|562|
SR0000053	134	35	35	2	2	4733	135.23	137.00	126	137	ENST00000634596.3	ENSG00000230623.9	ENST00000634596	ENSG00000230623	2445	546	682	137	ENSG00000230623:34;ENSG00000269514:1	35	35	2	4733	ENST00000634596.3|ENSG00000230623.9|OTTHUMG00000035719.11|OTTHUMT00000488035.1|ENST00000634596|ENSG00000230623|2445|
SR0000054	900	34	34	2	2	12351	363.26	376.00	186	388	ENST00000411904.2	ENSG00000228401.8	LNCEGFL7OS-201	LNCEGFL7OS	523	52	439	388	LNCEGFL7OS:25;ENSG00000305600:9	34	34	2	12351	ENST00000411904.2|ENSG00000228401.8|OTTHUMG00000020937.1|-|LNCEGFL7OS-201|LNCEGFL7OS|523|
SR0000055	716	39	34	3	3	30935	793.21	715.00	88	2524	ENST00000820378.1	ENSG00000306718.1	ENST00000820378	ENSG00000306718	2524	1	2524	2524	NPEPPSP1:32;ENSG00000304197:5;ENSG00000306718:2	39	34	3	30935	ENST00000820378.1|ENSG00000306718.1|-|-|ENST00000820378|ENSG00000306718|2524|
SR0000056	132	34	34	2	2	9330	274.41	279.00	126	279	ENST00000457958.7	ENSG00000227036.11	LINC00511-202	LINC00511	1626	1258	1536	279	LINC00511:33;ENSG00000299723:1	34	34	2	9330	ENST00000457958.7|ENSG00000227036.11|OTTHUMG00000132227.20|OTTHUMT00000501034.1|LINC00511-202|LINC00511|1626|
SR0000057	128	34	34	3	3	9161	269.44	276.00	187	291	ENST00000656941.2	ENSG00000237463.8	LRRC52-AS1-208	LRRC52-AS1	1030	738	1028	291	LRRC52-AS1:32;ENSG00000287367:1;ENSG00000289052:1	34	34	3	9161	ENST00000656941.2|ENSG00000237463.8|OTTHUMG00000034624.6|OTTHUMT00000517557.1|LRRC52-AS1-208|LRRC52-AS1|1030|
SR0000058	314	34	34	4	4	10932	321.53	328.00	138	371	ENST00000453187.2	ENSG00000234722.6	LINC01287-202	LINC01287	670	2	372	371	LINC01287:31;ENSG00000260777:1;ENSG00000300860:1;ENSG00000304673:1	34	34	4	10932	ENST00000453187.2|ENSG00000234722.6|OTTHUMG00000151464.41|OTTHUMT00000519315.1|LINC01287-202|LINC01287|670|
SR0000059	464	33	33	2	2	4775	144.70	134.00	123	187	ENST00000701182.2	ENSG00000207751.5	ENST00000701182	ENSG00000207751	704	1	187	187	ENSG00000207751:29;ENSG00000295055:4	33	33	2	4775	ENST00000701182.2|ENSG00000207751.5|OTTHUMG00000191660.1|-|ENST00000701182|ENSG00000207751|704|
SR0000060	126	33	33	2	2	4163	126.15	111.00	111	170	ENST00000420171.1	ENSG00000230736.2	ENST00000420171	ENSG00000230736	1558	1388	1557	170	GUSBP11:32;ENSG00000230736:1	33	33	2	4163	ENST00000420171.1|ENSG00000230736.2|OTTHUMG00000058267.1|OTTHUMT00000129022.1|ENST00000420171|ENSG00000230736|1558|
SR0000061	128	33	33	2	2	9636	292.00	226.00	222	938	ENST00000579781.2	ENSG00000266256.4	LINC00908-204	LINC00908	3603	1000	1937	938	LINC00908:32;LINC01927:1	33	33	2	9636	ENST00000579781.2|ENSG00000266256.4|OTTHUMG00000179141.27|OTTHUMT00000501695.1|LINC00908-204|LINC00908|3603|
SR0000062	180	33	33	2	2	3749	113.61	94.00	90	240	ENST00000724462.1	ENSG00000259772.9	LINC03034-238	LINC03034	972	249	488	240	LINC03034:31;LINC02352:2	33	33	2	3749	ENST00000724462.1|ENSG00000259772.9|OTTHUMG00000172223.2|-|LINC03034-238|LINC03034|972|
SR0000063	464	34	33	2	2	19230	565.59	280.00	152	1308	ENST00000609207.1	ENSG00000223764.3	LINC02593-203	LINC02593	4152	2845	4152	1308	ENSG00000272438:28;LINC02593:6	34	33	2	19230	ENST00000609207.1|ENSG00000223764.3|OTTHUMG00000040718.2|OTTHUMT00000473217.1|LINC02593-203|LINC02593|4152|
SR0000064	180	38	32	2	2	10083	265.34	243.00	94	546	ENST00000669489.1	ENSG00000233183.4	ENST00000669489	ENSG00000233183	1252	1	546	546	LINC01016:35;ENSG00000233183:3	38	32	2	10083	ENST00000669489.1|ENSG00000233183.4|OTTHUMG00000014537.17|OTTHUMT00000512742.1|ENST00000669489|ENSG00000233183|1252|
SR0000065	190	44	32	2	2	72579	1649.52	786.00	92	7337	ENST00000604411.1	ENSG00000270641.2	TSIX-201	TSIX	37027	28445	35781	7337	XIST:42;TSIX:2	44	32	2	72579	ENST00000604411.1|ENSG00000270641.2|OTTHUMG00000184725.1|OTTHUMT00000469120.1|TSIX-201|TSIX|37027|
SR0000066	116	32	32	2	2	2839	88.72	84.50	80	107	ENST00000527067.1	ENSG00000255559.2	ZNF252P-AS1-201	ZNF252P-AS1	3236	1	107	107	ZNF252P:31;ZNF252P-AS1:1	32	32	2	2839	ENST00000527067.1|ENSG00000255559.2|OTTHUMG00000165204.1|OTTHUMT00000382672.1|ZNF252P-AS1-201|ZNF252P-AS1|3236|
SR0000067	124	32	32	2	2	3968	124.00	124.00	124	124	ENST00000342990.4	ENSG00000189229.13	ENST00000342990	ENSG00000189229	864	558	681	124	ENSG00000189229:31;GRM7-AS3:1	32	32	2	3968	ENST00000342990.4|ENSG00000189229.13|OTTHUMG00000154923.34|OTTHUMT00000525087.1|ENST00000342990|ENSG00000189229|864|
SR0000068	256	46	32	3	3	28704	624.00	275.00	87	1817	ENST00000657118.1	ENSG00000241544.3	LINC02029-204	LINC02029	1817	1	1817	1817	LINC02029:43;LINC00880:2;ENSG00000289409:1	46	32	3	28704	ENST00000657118.1|ENSG00000241544.3|OTTHUMG00000158714.15|OTTHUMT00000514074.1|LINC02029-204|LINC02029|1817|
SR0000069	194	32	32	3	3	4494	140.44	125.00	111	250	ENST00000809748.1	ENSG00000305245.1	ENST00000809748	ENSG00000305245	447	1	250	250	LINC00539:25;ENSG00000291046:6;ENSG00000305245:1	32	32	3	4494	ENST00000809748.1|ENSG00000305245.1|-|-|ENST00000809748|ENSG00000305245|447|
SR0000070	124	32	32	2	2	8934	279.19	279.50	248	318	ENST00000794839.1	ENSG00000303468.1	ENST00000794839	ENSG00000303468	407	26	343	318	ARNT2-DT:31;ENSG00000303468:1	32	32	2	8934	ENST00000794839.1|ENSG00000303468.1|-|-|ENST00000794839|ENSG00000303468|407|
SR0000071	346	34	31	5	5	5794	170.41	153.50	84	308	ENST00000417479.2	ENSG00000231863.3	ENST00000417479	ENSG00000231863	2078	117	424	308	ENSG00000231863:21;ENSG00000287558:7;ENSG00000224371:3;LPAL2:2;ENSG00000303834:1	34	31	5	5794	ENST00000417479.2|ENSG00000231863.3|OTTHUMG00000015962.2|OTTHUMT00000042974.2|ENST00000417479|ENSG00000231863|2078|
SR0000072	120	31	31	2	2	6115	197.26	142.00	96	457	ENST00000416928.9	ENSG00000224189.9	HAGLR-202	HAGLR	4130	1	457	457	HAGLR:30;HAGLROS:1	31	31	2	6115	ENST00000416928.9|ENSG00000224189.9|OTTHUMG00000154172.6|OTTHUMT00000334217.4|HAGLR-202|HAGLR|4130|
SR0000073	364	31	31	4	4	5516	177.94	192.00	88	251	ENST00000668455.1	ENSG00000233891.9	ENST00000668455	ENSG00000233891	1370	416	666	251	ENSG00000258077:26;LINC00967:3;KRBOX1-AS1:1;ENSG00000233891:1	31	31	4	5516	ENST00000668455.1|ENSG00000233891.9|OTTHUMG00000152614.23|OTTHUMT00000327016.3|ENST00000668455|ENSG00000233891|1370|
SR0000074	328	31	31	2	2	7468	240.90	210.00	82	792	ENST00000685948.2	ENSG00000236064.4	ENST00000685948	ENSG00000236064	970	46	837	792	ENSG00000236064:22;ENSG00000310118:9	31	31	2	7468	ENST00000685948.2|ENSG00000236064.4|OTTHUMG00000022173.2|-|ENST00000685948|ENSG00000236064|970|
SR0000075	648	32	31	3	3	18156	567.38	502.00	103	1325	ENST00000765911.1	ENSG00000240006.3	LINC02004-207	LINC02004	1456	1	1325	1325	LINC02004:19;ENSG00000299712:11;ENSG00000299755:2	32	31	3	18156	ENST00000765911.1|ENSG00000240006.3|OTTHUMG00000159760.1|-|LINC02004-207|LINC02004|1456|
SR0000076	118	31	31	2	2	12322	397.48	415.00	93	548	ENST00000619113.1	ENSG00000277997.1	ENST00000619113	ENSG00000277997	548	1	548	548	ENSG00000235779:30;ENSG00000277997:1	31	31	2	12322	ENST00000619113.1|ENSG00000277997.1|OTTHUMG00000187987.1|OTTHUMT00000475771.1|ENST00000619113|ENSG00000277997|548|
SR0000077	1012	31	31	6	6	29732	959.10	826.00	192	1804	ENST00000805791.1	ENSG00000304720.1	ENST00000805791	ENSG00000304720	2898	54	1857	1804	LINC02966:12;ENSG00000235584:11;ENSG00000292083:5;ENSG00000304720:1;ENSG00000309507:1;ENSG00000309526:1	31	31	6	29732	ENST00000805791.1|ENSG00000304720.1|-|-|ENST00000805791|ENSG00000304720|2898|
