id	chromosome	start	end	length	total_kmers	matched_kmer_positions	match_count	match_fraction
negative_99	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	24751942	24752887	945	921	152	165	0.165038
negative_100	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	110323306	110324239	933	909	189	201	0.207921
negative_101	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	212981945	212982835	890	866	174	196	0.200924
negative_102	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202430547	202431526	979	955	182	201	0.190576
negative_103	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	29062618	29063554	936	912	164	184	0.179825
negative_104	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	144582488	144583400	912	888	152	170	0.171171
negative_105	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202998944	202999936	992	968	182	206	0.188017
negative_106	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	223804814	223805767	953	929	167	189	0.179763
negative_107	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	11755677	11756547	870	846	157	182	0.185579
negative_108	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	62404328	62405317	989	965	178	200	0.184456
negative_109	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	63737204	63738064	860	836	135	157	0.161483
negative_110	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	53060269	53061181	912	888	179	191	0.201577
negative_111	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	228051960	228052917	957	933	178	200	0.190782
negative_112	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	97063108	97063995	887	863	195	213	0.225956
negative_113	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	5808919	5809898	979	955	177	207	0.185340
negative_114	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	227131228	227132094	866	842	163	184	0.193587
negative_115	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	152722152	152723104	952	928	173	195	0.186422
negative_116	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	26664826	26665725	899	875	180	201	0.205714
negative_117	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	234853620	234854519	899	875	187	215	0.213714
negative_118	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	56496539	56497508	969	945	159	181	0.168254
negative_119	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	154550735	154551607	872	848	149	168	0.175708
negative_120	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	222141195	222142079	884	860	156	170	0.181395
negative_121	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	226746105	226747006	901	877	157	169	0.179019
negative_122	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	233205443	233206392	949	925	171	186	0.184865
negative_123	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	163538901	163539882	981	957	159	175	0.166144
negative_124	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	43615914	43616797	883	859	130	148	0.151339
negative_125	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	94588951	94589837	886	862	165	184	0.191415
negative_126	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	68388249	68389203	954	930	183	207	0.196774
negative_127	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	164975326	164976239	913	889	161	184	0.181102
negative_128	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	245182551	245183436	885	861	146	158	0.169570
negative_129	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	177501941	177502906	965	941	166	183	0.176408
negative_130	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	171459823	171460722	899	875	163	178	0.186286
negative_131	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	38359268	38360136	868	844	162	171	0.191943
negative_132	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	49653910	49654859	949	925	159	175	0.171892
negative_133	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	76657570	76658515	945	921	172	193	0.186754
negative_134	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	135353306	135354275	969	945	173	193	0.183069
negative_135	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	14530632	14531549	917	893	178	202	0.199328
negative_136	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	177765916	177766782	866	842	163	184	0.193587
negative_137	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	153320887	153321807	920	896	164	181	0.183036
negative_138	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	31349052	31349987	935	911	169	196	0.185510
negative_139	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	52192046	52193040	994	970	186	224	0.191753
negative_140	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	173155585	173156545	960	936	184	206	0.196581
negative_141	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	148380780	148381760	980	956	185	199	0.193515
negative_142	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	163115038	163115967	929	905	167	178	0.184530
negative_143	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	92809147	92810041	894	870	154	173	0.177011
negative_144	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	154572669	154573601	932	908	160	173	0.176211
negative_145	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	123926658	123927556	898	874	154	171	0.176201
negative_146	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	106515665	106516561	896	872	161	181	0.184633
negative_147	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	183459635	183460496	861	837	143	160	0.170848
negative_148	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	87623287	87624140	853	829	156	166	0.188179
negative_149	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	88411321	88412247	926	902	146	170	0.161863
negative_150	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	14274759	14275612	853	829	155	172	0.186972
negative_151	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	174288867	174289842	975	951	166	186	0.174553
negative_152	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	207845497	207846482	985	961	175	194	0.182102
negative_153	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	10248615	10249471	856	832	162	184	0.194712
negative_154	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	1003831	1004820	989	965	179	203	0.185492
negative_155	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	74722616	74723510	894	870	173	194	0.198851
negative_156	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	130471160	130472146	986	962	168	189	0.174636
negative_157	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	234027754	234028619	865	841	153	174	0.181926
negative_158	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	66260537	66261387	850	826	139	148	0.168281
negative_159	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	100233782	100234650	868	844	148	169	0.175355
negative_160	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	109517591	109518573	982	958	169	201	0.176409
negative_161	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	156904186	156905176	990	966	173	199	0.179089
negative_162	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202379635	202380514	879	855	171	199	0.200000
negative_163	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	6963470	6964433	963	939	169	186	0.179979
negative_164	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	51494827	51495786	959	935	192	206	0.205348
negative_165	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	92698820	92699810	990	966	174	196	0.180124
negative_166	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	159703498	159704426	928	904	161	179	0.178097
negative_167	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	16899940	16900867	927	903	166	179	0.183832
negative_168	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	44279384	44280369	985	961	165	185	0.171696
negative_169	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	151777647	151778554	907	883	163	183	0.184598
negative_170	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	167459158	167460138	980	956	173	199	0.180962
negative_171	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	247947675	247948572	897	873	157	169	0.179840
negative_172	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	173242603	173243548	945	921	189	214	0.205212
negative_173	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	146112439	146113385	946	922	170	195	0.184382
negative_174	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202114567	202115450	883	859	182	210	0.211874
negative_175	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	123306161	123307028	867	843	152	172	0.180308
negative_176	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	177224640	177225549	909	885	152	173	0.171751
negative_177	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	83146553	83147440	887	863	151	177	0.174971
negative_178	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	138620661	138621655	994	970	180	202	0.185567
negative_179	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	157816283	157817215	932	908	181	204	0.199339
negative_180	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	37243874	37244775	901	877	176	205	0.200684
negative_181	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	243293009	243293902	893	869	145	167	0.166858
negative_182	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	181428725	181429673	948	924	160	177	0.173160
negative_183	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	177020646	177021531	885	861	173	200	0.200929
negative_184	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	7699707	7700632	925	901	159	180	0.176471
negative_185	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	217862126	217863062	936	912	174	204	0.190789
negative_186	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	13793998	13794918	920	896	172	196	0.191964
negative_187	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	19338016	19338971	955	931	175	196	0.187970
negative_188	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	142779057	142780041	984	960	182	205	0.189583
negative_189	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	175792395	175793280	885	861	166	184	0.192799
negative_190	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	124252789	124253653	864	840	166	180	0.197619
negative_191	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	109501318	109502293	975	951	182	213	0.191377
negative_192	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	220730927	220731906	979	955	196	217	0.205236
negative_193	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	146257188	146258167	979	955	162	180	0.169634
negative_194	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	167298013	167298896	883	859	158	173	0.183935
negative_195	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	6057039	6057995	956	932	161	184	0.172747
negative_196	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	189266891	189267793	902	878	142	159	0.161731
negative_197	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	51595814	51596782	968	944	175	192	0.185381
negative_198	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	197118947	197119934	987	963	196	216	0.203531
negative_199	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202358144	202359132	988	964	192	210	0.199170
negative_200	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	197977555	197978552	997	973	198	222	0.203494
negative_201	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	206225479	206226340	861	837	150	164	0.179211
negative_202	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	216672866	216673762	896	872	166	180	0.190367
negative_203	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	32854893	32855883	990	966	168	186	0.173913
