transcript_id	gene_id	gene_name
ENST00000460833.2	ENSG00000241684.9	ADAMTS9-AS2
ENST00000474768.5	ENSG00000241684.9	ADAMTS9-AS2
ENST00000485174.5	ENSG00000241684.9	ADAMTS9-AS2
ENST00000702102.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770413.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770417.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770418.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770420.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770422.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770424.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770425.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770426.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770427.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770428.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770429.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770430.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770431.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770432.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770433.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770434.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770435.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770436.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770448.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000770453.1	ENSG00000241684.9	ADAMTS9-AS2
ENST00000502339.1	ENSG00000248692.6	ADGRL3-AS1
ENST00000801748.1	ENSG00000248692.6	ADGRL3-AS1
ENST00000608442.2	ENSG00000272620.2	AFAP1-AS1
ENST00000507023.1	ENSG00000250131.3	AGA-DT
ENST00000671080.1	ENSG00000250131.3	AGA-DT
ENST00000829582.1	ENSG00000250131.3	AGA-DT
ENST00000440498.1	ENSG00000235529.3	AGAP1-IT1
ENST00000690935.2	ENSG00000235529.3	AGAP1-IT1
ENST00000420071.1	ENSG00000230114.1	AGBL4-AS1
ENST00000357022.6	ENSG00000293434.2	AHSA2P
ENST00000394457.7	ENSG00000293434.2	AHSA2P
ENST00000463681.1	ENSG00000293434.2	AHSA2P
ENST00000471542.6	ENSG00000293434.2	AHSA2P
ENST00000484217.1	ENSG00000293434.2	AHSA2P
ENST00000487904.5	ENSG00000293434.2	AHSA2P
ENST00000493310.1	ENSG00000293434.2	AHSA2P
ENST00000493628.6	ENSG00000293434.2	AHSA2P
ENST00000642505.1	ENSG00000293434.2	AHSA2P
ENST00000642732.1	ENSG00000293434.2	AHSA2P
ENST00000643913.1	ENSG00000293434.2	AHSA2P
ENST00000647519.1	ENSG00000293434.2	AHSA2P
ENST00000733926.1	ENSG00000293434.2	AHSA2P
ENST00000733927.1	ENSG00000293434.2	AHSA2P
ENST00000733928.1	ENSG00000293434.2	AHSA2P
ENST00000733929.1	ENSG00000293434.2	AHSA2P
ENST00000507924.2	ENSG00000250218.2	ALDH1L1-AS1
ENST00000656531.1	ENSG00000250218.2	ALDH1L1-AS1
ENST00000661819.1	ENSG00000250218.2	ALDH1L1-AS1
ENST00000654154.2	ENSG00000246022.5	ALDH1L1-AS2
ENST00000725973.1	ENSG00000246022.5	ALDH1L1-AS2
ENST00000725974.1	ENSG00000246022.5	ALDH1L1-AS2
ENST00000725975.1	ENSG00000246022.5	ALDH1L1-AS2
ENST00000441587.3	ENSG00000230002.3	ALMS1-IT1
ENST00000707632.1	ENSG00000291477.1	ALMS1-IT1
ENST00000652439.1	ENSG00000290727.2	ALMS1P1
ENST00000707663.1	ENSG00000291487.1	ALMS1P1
ENST00000755937.1	ENSG00000290727.2	ALMS1P1
ENST00000755941.1	ENSG00000290727.2	ALMS1P1
ENST00000755942.1	ENSG00000290727.2	ALMS1P1
ENST00000755944.1	ENSG00000290727.2	ALMS1P1
ENST00000755949.1	ENSG00000290727.2	ALMS1P1
ENST00000755950.1	ENSG00000290727.2	ALMS1P1
ENST00000755953.1	ENSG00000290727.2	ALMS1P1
ENST00000755955.1	ENSG00000290727.2	ALMS1P1
ENST00000814195.1	ENSG00000285793.2	ANAPC1P2
ENST00000814198.1	ENSG00000285793.2	ANAPC1P2
ENST00000421951.5	ENSG00000291127.2	ANKRD36BP2
ENST00000427055.1	ENSG00000291127.2	ANKRD36BP2
ENST00000443770.3	ENSG00000291127.2	ANKRD36BP2
ENST00000685036.2	ENSG00000291127.2	ANKRD36BP2
ENST00000702796.2	ENSG00000291127.2	ANKRD36BP2
ENST00000754583.1	ENSG00000291127.2	ANKRD36BP2
ENST00000754584.1	ENSG00000291127.2	ANKRD36BP2
ENST00000754585.1	ENSG00000291127.2	ANKRD36BP2
ENST00000449346.4	ENSG00000231621.4	ANKRD44-AS1
ENST00000703007.2	ENSG00000231621.4	ANKRD44-AS1
ENST00000810792.1	ENSG00000231621.4	ANKRD44-AS1
ENST00000810793.1	ENSG00000231621.4	ANKRD44-AS1
ENST00000442984.2	ENSG00000225979.2	ANKRD44-DT
ENST00000738752.1	ENSG00000225979.2	ANKRD44-DT
ENST00000738753.1	ENSG00000225979.2	ANKRD44-DT
ENST00000738754.1	ENSG00000225979.2	ANKRD44-DT
ENST00000738755.1	ENSG00000225979.2	ANKRD44-DT
ENST00000428932.1	ENSG00000225905.2	ANKRD65-AS1
ENST00000781681.1	ENSG00000225905.2	ANKRD65-AS1
ENST00000503152.3	ENSG00000177738.7	ANXA2R-OT1
ENST00000607715.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000655830.3	ENSG00000177738.7	ANXA2R-OT1
ENST00000657195.2	ENSG00000177738.7	ANXA2R-OT1
ENST00000659142.3	ENSG00000177738.7	ANXA2R-OT1
ENST00000665537.2	ENSG00000177738.7	ANXA2R-OT1
ENST00000689869.2	ENSG00000177738.7	ANXA2R-OT1
ENST00000701039.2	ENSG00000177738.7	ANXA2R-OT1
ENST00000701470.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771916.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771917.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771918.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771919.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771920.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771924.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771936.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771937.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771938.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771939.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771940.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771942.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771943.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771944.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771945.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771946.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771947.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771948.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771949.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771950.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771951.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771952.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771953.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771954.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771955.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771956.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771957.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771958.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771959.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771960.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771961.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771962.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771964.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771965.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771966.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771967.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771968.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771969.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771971.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771972.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771973.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771974.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771975.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771976.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771977.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000771978.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000772212.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000772213.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000772215.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000773208.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000773747.1	ENSG00000177738.7	ANXA2R-OT1
ENST00000467633.1	ENSG00000284084.2	AOX3P-AOX2P
ENST00000469595.1	ENSG00000284084.2	AOX3P-AOX2P
ENST00000484406.1	ENSG00000284084.2	AOX3P-AOX2P
ENST00000785800.1	ENSG00000284084.2	AOX3P-AOX2P
ENST00000816797.1	ENSG00000284084.2	AOX3P-AOX2P
ENST00000816798.1	ENSG00000284084.2	AOX3P-AOX2P
ENST00000418238.3	ENSG00000226167.2	AP4B1-AS1
ENST00000419536.1	ENSG00000226167.2	AP4B1-AS1
ENST00000429398.5	ENSG00000226167.2	AP4B1-AS1
ENST00000448199.2	ENSG00000226167.2	AP4B1-AS1
ENST00000664434.1	ENSG00000226167.2	AP4B1-AS1
ENST00000702317.2	ENSG00000226167.2	AP4B1-AS1
ENST00000717022.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836797.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836798.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836799.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836800.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836801.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836802.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836803.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836804.1	ENSG00000226167.2	AP4B1-AS1
ENST00000836805.1	ENSG00000226167.2	AP4B1-AS1
ENST00000425564.2	ENSG00000198590.12	APRG1
ENST00000425932.5	ENSG00000198590.12	APRG1
ENST00000426078.5	ENSG00000198590.12	APRG1
ENST00000654228.1	ENSG00000198590.12	APRG1
ENST00000654714.1	ENSG00000198590.12	APRG1
ENST00000661769.1	ENSG00000198590.12	APRG1
ENST00000665000.1	ENSG00000198590.12	APRG1
ENST00000669217.1	ENSG00000198590.12	APRG1
ENST00000413103.4	ENSG00000226835.5	ARHGAP29-AS1
ENST00000418242.3	ENSG00000226835.5	ARHGAP29-AS1
ENST00000656153.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000660441.2	ENSG00000226835.5	ARHGAP29-AS1
ENST00000662164.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000666276.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000835310.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000835311.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000835312.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000835325.1	ENSG00000226835.5	ARHGAP29-AS1
ENST00000415726.1	ENSG00000224276.1	ARHGEF2-AS1
ENST00000610146.1	ENSG00000273002.2	ARHGEF2-AS2
ENST00000756615.1	ENSG00000273002.2	ARHGEF2-AS2
ENST00000756616.1	ENSG00000273002.2	ARHGEF2-AS2
ENST00000756617.1	ENSG00000273002.2	ARHGEF2-AS2
ENST00000495939.1	ENSG00000240198.6	ARHGEF3-AS1
ENST00000822764.1	ENSG00000240198.6	ARHGEF3-AS1
ENST00000429282.5	ENSG00000233221.7	ARHGEF4-AS1
ENST00000446213.2	ENSG00000233221.7	ARHGEF4-AS1
ENST00000660150.1	ENSG00000233221.7	ARHGEF4-AS1
ENST00000452809.1	ENSG00000235919.6	ASH1L-AS1
ENST00000456633.3	ENSG00000235919.6	ASH1L-AS1
ENST00000504846.1	ENSG00000248192.1	ATG10-AS1
ENST00000437597.2	ENSG00000233058.4	ATP13A3-DT
ENST00000448892.2	ENSG00000233058.4	ATP13A3-DT
ENST00000653684.1	ENSG00000233058.4	ATP13A3-DT
ENST00000656823.1	ENSG00000233058.4	ATP13A3-DT
ENST00000661941.3	ENSG00000233058.4	ATP13A3-DT
ENST00000662856.1	ENSG00000233058.4	ATP13A3-DT
ENST00000665891.1	ENSG00000233058.4	ATP13A3-DT
ENST00000671306.1	ENSG00000233058.4	ATP13A3-DT
ENST00000685672.2	ENSG00000233058.4	ATP13A3-DT
ENST00000847430.1	ENSG00000233058.4	ATP13A3-DT
ENST00000847431.1	ENSG00000233058.4	ATP13A3-DT
ENST00000847432.1	ENSG00000233058.4	ATP13A3-DT
ENST00000426459.1	ENSG00000225473.2	ATP13A4-AS1
ENST00000817207.1	ENSG00000225473.2	ATP13A4-AS1
ENST00000817208.1	ENSG00000225473.2	ATP13A4-AS1
ENST00000414634.1	ENSG00000236508.1	ATP13A5-AS1
ENST00000562054.3	ENSG00000260519.3	ATP8A1-DT
ENST00000792898.1	ENSG00000260519.3	ATP8A1-DT
ENST00000792899.1	ENSG00000260519.3	ATP8A1-DT
ENST00000470790.1	ENSG00000240254.3	B4GALT4-AS1
ENST00000657819.2	ENSG00000240254.3	B4GALT4-AS1
ENST00000624232.2	ENSG00000274840.6	BALR6
ENST00000686508.2	ENSG00000224152.3	BAZ2B-AS1
ENST00000691388.3	ENSG00000224152.3	BAZ2B-AS1
ENST00000703004.2	ENSG00000224152.3	BAZ2B-AS1
ENST00000567769.1	ENSG00000261501.1	BBS7-DT
ENST00000412628.1	ENSG00000224093.8	BCAR3-AS1
ENST00000417401.4	ENSG00000224093.8	BCAR3-AS1
ENST00000427243.7	ENSG00000224093.8	BCAR3-AS1
ENST00000431770.1	ENSG00000224093.8	BCAR3-AS1
ENST00000446684.1	ENSG00000224093.8	BCAR3-AS1
ENST00000703038.1	ENSG00000224093.8	BCAR3-AS1
ENST00000747703.1	ENSG00000224093.8	BCAR3-AS1
ENST00000747704.1	ENSG00000224093.8	BCAR3-AS1
ENST00000426125.1	ENSG00000223653.7	BCL10-AS1
ENST00000427819.5	ENSG00000223653.7	BCL10-AS1
ENST00000654182.1	ENSG00000223653.7	BCL10-AS1
ENST00000648485.2	ENSG00000285938.2	BCL6-AS1
ENST00000793818.1	ENSG00000285938.2	BCL6-AS1
ENST00000793819.1	ENSG00000285938.2	BCL6-AS1
ENST00000793820.1	ENSG00000285938.2	BCL6-AS1
ENST00000418539.2	ENSG00000236824.2	BCYRN1
ENST00000564925.1	ENSG00000260278.2	BMP2K-DT
ENST00000779028.1	ENSG00000260278.2	BMP2K-DT
ENST00000779029.1	ENSG00000260278.2	BMP2K-DT
ENST00000648746.1	ENSG00000285905.1	BMP8B-AS1
ENST00000808525.1	ENSG00000289843.2	BMS1P14
ENST00000808533.1	ENSG00000289843.2	BMS1P14
ENST00000808536.1	ENSG00000289843.2	BMS1P14
ENST00000808725.1	ENSG00000289843.2	BMS1P14
ENST00000808733.1	ENSG00000289843.2	BMS1P14
ENST00000423477.2	ENSG00000225439.5	BOLA3-DT
ENST00000529783.2	ENSG00000225439.5	BOLA3-DT
ENST00000533563.3	ENSG00000225439.5	BOLA3-DT
ENST00000655044.2	ENSG00000225439.5	BOLA3-DT
ENST00000656407.1	ENSG00000225439.5	BOLA3-DT
ENST00000691938.2	ENSG00000225439.5	BOLA3-DT
ENST00000803106.1	ENSG00000225439.5	BOLA3-DT
ENST00000803107.1	ENSG00000225439.5	BOLA3-DT
ENST00000803108.1	ENSG00000225439.5	BOLA3-DT
ENST00000803109.1	ENSG00000225439.5	BOLA3-DT
ENST00000803110.1	ENSG00000225439.5	BOLA3-DT
ENST00000803111.1	ENSG00000225439.5	BOLA3-DT
ENST00000418282.2	ENSG00000232416.3	BPESC1
ENST00000424735.2	ENSG00000237457.7	BRINP3-DT
ENST00000436905.6	ENSG00000237457.7	BRINP3-DT
ENST00000784598.1	ENSG00000237457.7	BRINP3-DT
ENST00000784599.1	ENSG00000237457.7	BRINP3-DT
ENST00000784600.1	ENSG00000237457.7	BRINP3-DT
ENST00000784601.1	ENSG00000237457.7	BRINP3-DT
ENST00000784602.1	ENSG00000237457.7	BRINP3-DT
ENST00000784603.1	ENSG00000237457.7	BRINP3-DT
ENST00000784604.1	ENSG00000237457.7	BRINP3-DT
ENST00000784605.1	ENSG00000237457.7	BRINP3-DT
ENST00000784606.1	ENSG00000237457.7	BRINP3-DT
ENST00000784607.1	ENSG00000237457.7	BRINP3-DT
ENST00000784608.1	ENSG00000237457.7	BRINP3-DT
ENST00000784609.1	ENSG00000237457.7	BRINP3-DT
ENST00000784610.1	ENSG00000237457.7	BRINP3-DT
ENST00000784611.1	ENSG00000237457.7	BRINP3-DT
ENST00000784612.1	ENSG00000237457.7	BRINP3-DT
ENST00000784613.1	ENSG00000237457.7	BRINP3-DT
ENST00000784614.1	ENSG00000237457.7	BRINP3-DT
ENST00000784615.1	ENSG00000237457.7	BRINP3-DT
ENST00000784618.1	ENSG00000237457.7	BRINP3-DT
ENST00000784619.1	ENSG00000237457.7	BRINP3-DT
ENST00000784620.1	ENSG00000237457.7	BRINP3-DT
ENST00000784621.1	ENSG00000237457.7	BRINP3-DT
ENST00000607001.3	ENSG00000272525.3	BTF3-DT
ENST00000814954.1	ENSG00000272525.3	BTF3-DT
ENST00000814955.1	ENSG00000272525.3	BTF3-DT
ENST00000814956.1	ENSG00000272525.3	BTF3-DT
ENST00000814957.1	ENSG00000272525.3	BTF3-DT
ENST00000814958.1	ENSG00000272525.3	BTF3-DT
ENST00000494869.2	ENSG00000293512.2	BTNL12P
ENST00000635496.2	ENSG00000293512.2	BTNL12P
ENST00000637360.1	ENSG00000293512.2	BTNL12P
ENST00000732430.1	ENSG00000293512.2	BTNL12P
ENST00000732431.1	ENSG00000293512.2	BTNL12P
ENST00000367638.1	ENSG00000213057.5	C1orf220
ENST00000521244.1	ENSG00000213057.5	C1orf220
ENST00000434182.2	ENSG00000234614.2	C2CD4D-AS1
ENST00000428329.1	ENSG00000224063.7	CALCRL-AS1
ENST00000729959.1	ENSG00000224063.7	CALCRL-AS1
ENST00000729960.1	ENSG00000224063.7	CALCRL-AS1
ENST00000759350.1	ENSG00000224063.7	CALCRL-AS1
ENST00000759351.1	ENSG00000224063.7	CALCRL-AS1
ENST00000759352.1	ENSG00000224063.7	CALCRL-AS1
ENST00000759353.1	ENSG00000224063.7	CALCRL-AS1
ENST00000759354.1	ENSG00000224063.7	CALCRL-AS1
ENST00000849779.1	ENSG00000237402.2	CAMTA1-IT1
ENST00000849780.1	ENSG00000237402.2	CAMTA1-IT1
ENST00000424116.8	ENSG00000233766.9	CAVIN2-AS1
ENST00000428980.6	ENSG00000233766.9	CAVIN2-AS1
ENST00000594023.5	ENSG00000233766.9	CAVIN2-AS1
ENST00000594591.5	ENSG00000233766.9	CAVIN2-AS1
ENST00000594798.2	ENSG00000233766.9	CAVIN2-AS1
ENST00000595918.2	ENSG00000233766.9	CAVIN2-AS1
ENST00000596486.5	ENSG00000233766.9	CAVIN2-AS1
ENST00000597204.5	ENSG00000233766.9	CAVIN2-AS1
ENST00000598327.3	ENSG00000233766.9	CAVIN2-AS1
ENST00000602099.3	ENSG00000233766.9	CAVIN2-AS1
ENST00000609952.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000625221.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000625555.2	ENSG00000233766.9	CAVIN2-AS1
ENST00000629279.2	ENSG00000233766.9	CAVIN2-AS1
ENST00000630824.2	ENSG00000233766.9	CAVIN2-AS1
ENST00000792812.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000792813.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000792814.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000792815.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000792816.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000792817.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000792818.1	ENSG00000233766.9	CAVIN2-AS1
ENST00000793527.1	ENSG00000251445.2	CBR4-DT
ENST00000418161.2	ENSG00000173811.11	CCDC13-AS1
ENST00000446950.5	ENSG00000173811.11	CCDC13-AS1
ENST00000665649.1	ENSG00000173811.11	CCDC13-AS1
ENST00000432377.4	ENSG00000225611.4	CCDC13-AS2
ENST00000836456.1	ENSG00000225611.4	CCDC13-AS2
ENST00000836457.1	ENSG00000225611.4	CCDC13-AS2
ENST00000440903.1	ENSG00000163081.4	CCDC140
ENST00000647762.1	ENSG00000163081.4	CCDC140
ENST00000412781.2	ENSG00000227480.2	CCDC148-AS1
ENST00000625513.1	ENSG00000229140.13	CCDC26
ENST00000495357.1	ENSG00000243187.2	CCDC39-AS1
ENST00000793771.1	ENSG00000243187.2	CCDC39-AS1
ENST00000382265.3	ENSG00000236427.3	CCDST
ENST00000392688.7	ENSG00000236427.3	CCDST
ENST00000411804.1	ENSG00000236427.3	CCDST
ENST00000420707.5	ENSG00000236427.3	CCDST
ENST00000445097.2	ENSG00000236427.3	CCDST
ENST00000593011.5	ENSG00000236427.3	CCDST
ENST00000628475.2	ENSG00000236427.3	CCDST
ENST00000629331.1	ENSG00000236427.3	CCDST
ENST00000630125.3	ENSG00000236427.3	CCDST
ENST00000653548.1	ENSG00000236427.3	CCDST
ENST00000655109.1	ENSG00000236427.3	CCDST
ENST00000658099.1	ENSG00000236427.3	CCDST
ENST00000659844.1	ENSG00000236427.3	CCDST
ENST00000664213.1	ENSG00000236427.3	CCDST
ENST00000665223.1	ENSG00000236427.3	CCDST
ENST00000666686.1	ENSG00000236427.3	CCDST
ENST00000669062.1	ENSG00000236427.3	CCDST
ENST00000669830.1	ENSG00000236427.3	CCDST
ENST00000759267.1	ENSG00000236427.3	CCDST
ENST00000759270.1	ENSG00000236427.3	CCDST
ENST00000759274.1	ENSG00000236427.3	CCDST
ENST00000759275.1	ENSG00000236427.3	CCDST
ENST00000759281.1	ENSG00000236427.3	CCDST
ENST00000759284.1	ENSG00000236427.3	CCDST
ENST00000774927.1	ENSG00000236427.3	CCDST
ENST00000506435.2	ENSG00000251307.2	CCNO-DT
ENST00000749850.1	ENSG00000251307.2	CCNO-DT
ENST00000749851.1	ENSG00000251307.2	CCNO-DT
ENST00000749852.1	ENSG00000251307.2	CCNO-DT
ENST00000749853.1	ENSG00000251307.2	CCNO-DT
ENST00000749854.1	ENSG00000251307.2	CCNO-DT
ENST00000749855.1	ENSG00000251307.2	CCNO-DT
ENST00000749856.1	ENSG00000251307.2	CCNO-DT
ENST00000749857.1	ENSG00000251307.2	CCNO-DT
ENST00000749858.1	ENSG00000251307.2	CCNO-DT
ENST00000749859.1	ENSG00000251307.2	CCNO-DT
ENST00000431803.2	ENSG00000230068.2	CDC42-IT1
ENST00000419425.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000659653.2	ENSG00000236213.5	CDC42EP3-AS1
ENST00000668683.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000686061.2	ENSG00000236213.5	CDC42EP3-AS1
ENST00000689279.2	ENSG00000236213.5	CDC42EP3-AS1
ENST00000689395.2	ENSG00000236213.5	CDC42EP3-AS1
ENST00000689928.2	ENSG00000236213.5	CDC42EP3-AS1
ENST00000690322.3	ENSG00000236213.5	CDC42EP3-AS1
ENST00000692480.2	ENSG00000236213.5	CDC42EP3-AS1
ENST00000703028.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751609.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751610.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751611.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751612.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751613.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751614.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751617.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751618.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751619.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751620.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751621.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751623.1	ENSG00000236213.5	CDC42EP3-AS1
ENST00000751625.1	ENSG00000236213.5	CDC42EP3-AS1
