transcript_id	gene_id	transcript_name	gene_name	high_confident_pass_count	genome_count
ENST00000729992.1	ENSG00000225285.2	LINC01770-217	LINC01770	11	11
ENST00000729991.1	ENSG00000225285.2	LINC01770-216	LINC01770	11	11
ENST00000729990.1	ENSG00000225285.2	LINC01770-215	LINC01770	11	11
ENST00000729987.1	ENSG00000225285.2	LINC01770-212	LINC01770	11	11
ENST00000729999.1	ENSG00000225285.2	LINC01770-224	LINC01770	11	11
ENST00000430109.2	ENSG00000225285.2	LINC01770-202	LINC01770	11	11
ENST00000729993.1	ENSG00000225285.2	LINC01770-218	LINC01770	11	11
ENST00000730018.1	ENSG00000225285.2	LINC01770-243	LINC01770	11	11
ENST00000763257.1	ENSG00000299413.1	ENST00000763257	ENSG00000299413	11	11
ENST00000366221.4	ENSG00000215014.5	SSU72-AS1-201	SSU72-AS1	11	11
ENST00000828257.1	ENSG00000286989.2	ENST00000828257	ENSG00000286989	11	11
ENST00000658591.1	ENSG00000286989.2	ENST00000658591	ENSG00000286989	11	11
ENST00000828256.1	ENSG00000286989.2	ENST00000828256	ENSG00000286989	11	11
ENST00000598846.1	ENSG00000268575.1	ENST00000598846	ENSG00000268575	11	11
ENST00000847760.1	ENSG00000293188.2	ENST00000847760	ENSG00000293188	11	11
ENST00000848009.1	ENSG00000310190.1	ENST00000848009	ENSG00000310190	11	11
ENST00000848006.1	ENSG00000310190.1	ENST00000848006	ENSG00000310190	11	11
ENST00000787791.1	ENSG00000302550.1	ENST00000787791	ENSG00000302550	11	11
ENST00000787790.1	ENSG00000302550.1	ENST00000787790	ENSG00000302550	11	11
ENST00000787789.1	ENSG00000302550.1	ENST00000787789	ENSG00000302550	11	11
ENST00000798456.1	ENSG00000231050.4	GNB1-DT-206	GNB1-DT	11	11
ENST00000798458.1	ENSG00000231050.4	GNB1-DT-208	GNB1-DT	11	11
ENST00000689170.2	ENSG00000231050.4	GNB1-DT-204	GNB1-DT	11	11
ENST00000798457.1	ENSG00000231050.4	GNB1-DT-207	GNB1-DT	11	11
ENST00000686550.2	ENSG00000231050.4	GNB1-DT-203	GNB1-DT	11	11
ENST00000798462.1	ENSG00000231050.4	GNB1-DT-212	GNB1-DT	11	11
ENST00000702668.2	ENSG00000231050.4	GNB1-DT-205	GNB1-DT	11	11
ENST00000798459.1	ENSG00000231050.4	GNB1-DT-209	GNB1-DT	11	11
ENST00000798460.1	ENSG00000231050.4	GNB1-DT-210	GNB1-DT	11	11
ENST00000798461.1	ENSG00000231050.4	GNB1-DT-211	GNB1-DT	11	11
ENST00000798640.1	ENSG00000303984.1	ENST00000798640	ENSG00000303984	11	11
ENST00000412228.1	ENSG00000231050.4	GNB1-DT-201	GNB1-DT	11	11
ENST00000798465.1	ENSG00000231050.4	GNB1-DT-215	GNB1-DT	11	11
ENST00000798466.1	ENSG00000231050.4	GNB1-DT-216	GNB1-DT	11	11
ENST00000798467.1	ENSG00000231050.4	GNB1-DT-217	GNB1-DT	11	11
ENST00000726656.1	ENSG00000294910.1	ENST00000726656	ENSG00000294910	11	11
ENST00000726655.1	ENSG00000294910.1	ENST00000726655	ENSG00000294910	11	11
ENST00000726657.1	ENSG00000294910.1	ENST00000726657	ENSG00000294910	11	11
ENST00000443930.2	ENSG00000233542.3	ENST00000443930	ENSG00000233542	11	11
ENST00000659674.2	ENSG00000233542.3	ENST00000659674	ENSG00000233542	11	11
ENST00000757332.1	ENSG00000233542.3	ENST00000757332	ENSG00000233542	11	11
ENST00000807392.1	ENSG00000304958.1	ENST00000807392	ENSG00000304958	11	11
ENST00000807397.1	ENSG00000304958.1	ENST00000807397	ENSG00000304958	11	11
ENST00000807396.1	ENSG00000304958.1	ENST00000807396	ENSG00000304958	11	11
ENST00000807395.1	ENSG00000304958.1	ENST00000807395	ENSG00000304958	11	11
ENST00000807394.1	ENSG00000304958.1	ENST00000807394	ENSG00000304958	11	11
ENST00000807393.1	ENSG00000304958.1	ENST00000807393	ENSG00000304958	11	11
ENST00000807391.1	ENSG00000304958.1	ENST00000807391	ENSG00000304958	11	11
ENST00000807390.1	ENSG00000304958.1	ENST00000807390	ENSG00000304958	11	11
ENST00000445600.2	ENSG00000226969.2	PRKCZ-DT-201	PRKCZ-DT	11	11
ENST00000776845.1	ENSG00000226969.2	PRKCZ-DT-203	PRKCZ-DT	11	11
ENST00000449154.1	ENSG00000226969.2	PRKCZ-DT-202	PRKCZ-DT	11	11
ENST00000832148.1	ENSG00000308181.1	ENST00000832148	ENSG00000308181	11	11
ENST00000832149.1	ENSG00000308181.1	ENST00000832149	ENSG00000308181	11	11
ENST00000799045.1	ENSG00000304038.1	ENST00000799045	ENSG00000304038	11	11
ENST00000799046.1	ENSG00000304038.1	ENST00000799046	ENSG00000304038	11	11
ENST00000442483.2	ENSG00000234396.3	ENST00000442483	ENSG00000234396	11	11
ENST00000800005.1	ENSG00000304143.1	ENST00000800005	ENSG00000304143	11	11
ENST00000730475.1	ENSG00000295493.1	ENST00000730475	ENSG00000295493	11	11
ENST00000810882.1	ENSG00000287356.2	ENST00000810882	ENSG00000287356	11	11
ENST00000810884.1	ENSG00000287356.2	ENST00000810884	ENSG00000287356	11	11
ENST00000810885.1	ENSG00000287356.2	ENST00000810885	ENSG00000287356	11	11
ENST00000810887.1	ENSG00000287356.2	ENST00000810887	ENSG00000287356	11	11
ENST00000810889.1	ENSG00000287356.2	ENST00000810889	ENSG00000287356	11	11
ENST00000810890.1	ENSG00000287356.2	ENST00000810890	ENSG00000287356	11	11
ENST00000810891.1	ENSG00000287356.2	ENST00000810891	ENSG00000287356	11	11
ENST00000659232.1	ENSG00000287356.2	ENST00000659232	ENSG00000287356	11	11
ENST00000661319.1	ENSG00000287356.2	ENST00000661319	ENSG00000287356	11	11
ENST00000810892.1	ENSG00000287356.2	ENST00000810892	ENSG00000287356	11	11
ENST00000810893.1	ENSG00000287356.2	ENST00000810893	ENSG00000287356	11	11
ENST00000810896.1	ENSG00000287356.2	ENST00000810896	ENSG00000287356	11	11
ENST00000602865.1	ENSG00000292993.1	ENST00000602865	ENSG00000292993	11	11
ENST00000607858.1	ENSG00000272420.1	ENST00000607858	ENSG00000272420	11	11
ENST00000424657.1	ENSG00000224387.1	ENST00000424657	ENSG00000224387	11	11
ENST00000629671.1	ENSG00000281225.1	ENST00000629671	ENSG00000281225	11	11
ENST00000442305.1	ENSG00000229393.1	ENST00000442305	ENSG00000229393	11	11
ENST00000626056.1	ENSG00000281274.1	ENST00000626056	ENSG00000281274	11	11
ENST00000644246.1	ENSG00000272449.4	ENST00000644246	ENSG00000272449	11	11
ENST00000829790.1	ENSG00000238164.7	TNFRSF14-AS1-210	TNFRSF14-AS1	11	11
ENST00000829791.1	ENSG00000238164.7	TNFRSF14-AS1-211	TNFRSF14-AS1	11	11
ENST00000829797.1	ENSG00000238164.7	TNFRSF14-AS1-217	TNFRSF14-AS1	11	11
ENST00000829796.1	ENSG00000238164.7	TNFRSF14-AS1-216	TNFRSF14-AS1	11	11
ENST00000443892.3	ENSG00000238164.7	TNFRSF14-AS1-203	TNFRSF14-AS1	11	11
ENST00000416860.4	ENSG00000238164.7	TNFRSF14-AS1-201	TNFRSF14-AS1	11	11
ENST00000625309.1	ENSG00000281197.2	TNFRSF14-AS1-220	TNFRSF14-AS1	11	11
ENST00000625655.1	ENSG00000281197.2	TNFRSF14-AS1-221	TNFRSF14-AS1	11	11
ENST00000432521.3	ENSG00000238164.7	TNFRSF14-AS1-202	TNFRSF14-AS1	11	11
ENST00000628438.1	ENSG00000281197.2	TNFRSF14-AS1-223	TNFRSF14-AS1	11	11
ENST00000829799.1	ENSG00000238164.7	TNFRSF14-AS1-219	TNFRSF14-AS1	11	11
ENST00000829798.1	ENSG00000238164.7	TNFRSF14-AS1-218	TNFRSF14-AS1	11	11
ENST00000830048.1	ENSG00000307958.1	ENST00000830048	ENSG00000307958	11	11
ENST00000424215.2	ENSG00000228037.2	ENST00000424215	ENSG00000228037	11	11
ENST00000829924.1	ENSG00000228037.2	ENST00000829924	ENSG00000228037	11	11
ENST00000629855.1	ENSG00000281740.1	ENST00000629855	ENSG00000281740	11	11
ENST00000686752.3	ENSG00000289610.3	ENST00000686752	ENSG00000289610	11	11
ENST00000427302.2	ENSG00000237058.2	MMEL1-AS1-201	MMEL1-AS1	11	11
ENST00000723528.1	ENSG00000237058.2	MMEL1-AS1-208	MMEL1-AS1	11	11
ENST00000723530.1	ENSG00000237058.2	MMEL1-AS1-210	MMEL1-AS1	11	11
ENST00000723532.1	ENSG00000237058.2	MMEL1-AS1-212	MMEL1-AS1	11	11
ENST00000457440.1	ENSG00000233234.1	ENST00000457440	ENSG00000233234	11	11
ENST00000790074.1	ENSG00000302855.1	ENST00000790074	ENSG00000302855	11	11
ENST00000727914.1	ENSG00000295089.1	ENST00000727914	ENSG00000295089	11	11
ENST00000767974.1	ENSG00000300015.1	ENST00000767974	ENSG00000300015	11	11
ENST00000641229.2	ENSG00000284745.2	ENST00000641229	ENSG00000284745	11	11
ENST00000724113.1	ENSG00000284745.2	ENST00000724113	ENSG00000284745	11	11
ENST00000724114.1	ENSG00000284745.2	ENST00000724114	ENSG00000284745	11	11
ENST00000642073.1	ENSG00000284745.2	ENST00000642073	ENSG00000284745	11	11
ENST00000818096.1	ENSG00000177133.15	PRDM16-DT-216	PRDM16-DT	11	11
ENST00000818105.1	ENSG00000177133.15	PRDM16-DT-225	PRDM16-DT	11	11
ENST00000818100.1	ENSG00000177133.15	PRDM16-DT-220	PRDM16-DT	11	11
ENST00000321399.8	ENSG00000177133.15	PRDM16-DT-202	PRDM16-DT	11	11
ENST00000818106.1	ENSG00000177133.15	PRDM16-DT-226	PRDM16-DT	11	11
ENST00000818104.1	ENSG00000177133.15	PRDM16-DT-224	PRDM16-DT	11	11
ENST00000818103.1	ENSG00000177133.15	PRDM16-DT-223	PRDM16-DT	11	11
ENST00000818098.1	ENSG00000177133.15	PRDM16-DT-218	PRDM16-DT	11	11
ENST00000687743.2	ENSG00000177133.15	PRDM16-DT-210	PRDM16-DT	11	11
ENST00000818093.1	ENSG00000177133.15	PRDM16-DT-213	PRDM16-DT	11	11
ENST00000606861.1	ENSG00000177133.15	PRDM16-DT-207	PRDM16-DT	11	11
ENST00000413472.6	ENSG00000177133.15	PRDM16-DT-203	PRDM16-DT	11	11
ENST00000818117.1	ENSG00000177133.15	PRDM16-DT-237	PRDM16-DT	11	11
ENST00000818116.1	ENSG00000177133.15	PRDM16-DT-236	PRDM16-DT	11	11
ENST00000818115.1	ENSG00000177133.15	PRDM16-DT-235	PRDM16-DT	11	11
ENST00000818111.1	ENSG00000177133.15	PRDM16-DT-231	PRDM16-DT	11	11
ENST00000818109.1	ENSG00000177133.15	PRDM16-DT-229	PRDM16-DT	11	11
ENST00000818110.1	ENSG00000177133.15	PRDM16-DT-230	PRDM16-DT	11	11
ENST00000818102.1	ENSG00000177133.15	PRDM16-DT-222	PRDM16-DT	11	11
ENST00000453118.5	ENSG00000177133.15	PRDM16-DT-206	PRDM16-DT	11	11
ENST00000818118.1	ENSG00000177133.15	PRDM16-DT-238	PRDM16-DT	11	11
ENST00000818101.1	ENSG00000177133.15	PRDM16-DT-221	PRDM16-DT	11	11
ENST00000818097.1	ENSG00000177133.15	PRDM16-DT-217	PRDM16-DT	11	11
ENST00000445317.1	ENSG00000177133.15	PRDM16-DT-205	PRDM16-DT	11	11
ENST00000818094.1	ENSG00000177133.15	PRDM16-DT-214	PRDM16-DT	11	11
ENST00000818095.1	ENSG00000177133.15	PRDM16-DT-215	PRDM16-DT	11	11
ENST00000667159.1	ENSG00000177133.15	PRDM16-DT-208	PRDM16-DT	11	11
ENST00000670730.1	ENSG00000177133.15	PRDM16-DT-209	PRDM16-DT	11	11
ENST00000818099.1	ENSG00000177133.15	PRDM16-DT-219	PRDM16-DT	11	11
ENST00000818113.1	ENSG00000177133.15	PRDM16-DT-233	PRDM16-DT	11	11
ENST00000321336.2	ENSG00000177133.15	PRDM16-DT-201	PRDM16-DT	11	11
ENST00000818107.1	ENSG00000177133.15	PRDM16-DT-227	PRDM16-DT	11	11
ENST00000818112.1	ENSG00000177133.15	PRDM16-DT-232	PRDM16-DT	11	11
ENST00000818114.1	ENSG00000177133.15	PRDM16-DT-234	PRDM16-DT	11	11
ENST00000818108.1	ENSG00000177133.15	PRDM16-DT-228	PRDM16-DT	11	11
ENST00000818120.1	ENSG00000177133.15	PRDM16-DT-240	PRDM16-DT	11	11
ENST00000702683.2	ENSG00000177133.15	PRDM16-DT-211	PRDM16-DT	11	11
ENST00000440516.1	ENSG00000226286.1	ENST00000440516	ENSG00000226286	11	11
ENST00000818385.1	ENSG00000306427.1	ENST00000818385	ENSG00000306427	11	11
ENST00000818384.1	ENSG00000306427.1	ENST00000818384	ENSG00000306427	11	11
ENST00000624175.1	ENSG00000279839.1	ENST00000624175	ENSG00000279839	11	11
ENST00000818534.1	ENSG00000306439.1	ENST00000818534	ENSG00000306439	11	11
ENST00000607061.1	ENSG00000272235.1	ENST00000607061	ENSG00000272235	11	11
ENST00000818621.1	ENSG00000287828.2	ENST00000818621	ENSG00000287828	11	11
ENST00000818620.1	ENSG00000287828.2	ENST00000818620	ENSG00000287828	11	11
ENST00000818619.1	ENSG00000287828.2	ENST00000818619	ENSG00000287828	11	11
ENST00000669140.1	ENSG00000287828.2	ENST00000669140	ENSG00000287828	11	11
ENST00000665088.1	ENSG00000286518.1	ENST00000665088	ENSG00000286518	11	11
ENST00000732444.1	ENSG00000295754.1	ENST00000732444	ENSG00000295754	11	11
ENST00000749363.1	ENSG00000297626.1	ENST00000749363	ENSG00000297626	11	11
ENST00000838668.1	ENSG00000238260.4	ENST00000838668	ENSG00000238260	11	11
ENST00000687047.2	ENSG00000238260.4	ENST00000687047	ENSG00000238260	11	11
ENST00000687651.2	ENSG00000238260.4	ENST00000687651	ENSG00000238260	11	11
ENST00000702864.2	ENSG00000238260.4	ENST00000702864	ENSG00000238260	11	11
ENST00000688510.2	ENSG00000238260.4	ENST00000688510	ENSG00000238260	11	11
ENST00000702520.1	ENSG00000238260.4	ENST00000702520	ENSG00000238260	11	11
ENST00000838671.1	ENSG00000238260.4	ENST00000838671	ENSG00000238260	11	11
ENST00000435049.3	ENSG00000238260.4	ENST00000435049	ENSG00000238260	11	11
ENST00000838670.1	ENSG00000238260.4	ENST00000838670	ENSG00000238260	11	11
ENST00000691868.2	ENSG00000238260.4	ENST00000691868	ENSG00000238260	11	11
ENST00000838669.1	ENSG00000238260.4	ENST00000838669	ENSG00000238260	11	11
ENST00000443034.1	ENSG00000227589.1	TP73-AS3-201	TP73-AS3	11	11
ENST00000416554.1	ENSG00000235131.1	TP73-AS2-201	TP73-AS2	11	11
ENST00000648526.1	ENSG00000293478.2	GFOD3P-217	GFOD3P	11	11
ENST00000624167.2	ENSG00000293478.2	GFOD3P-208	GFOD3P	11	11
ENST00000418088.6	ENSG00000293478.2	GFOD3P-202	GFOD3P	11	11
ENST00000648432.2	ENSG00000293478.2	GFOD3P-215	GFOD3P	11	11
ENST00000723235.1	ENSG00000293478.2	GFOD3P-231	GFOD3P	11	11
ENST00000648479.1	ENSG00000293478.2	GFOD3P-216	GFOD3P	11	11
ENST00000452079.5	ENSG00000293478.2	GFOD3P-205	GFOD3P	11	11
ENST00000723236.1	ENSG00000293478.2	GFOD3P-232	GFOD3P	11	11
ENST00000650545.1	ENSG00000293478.2	GFOD3P-229	GFOD3P	11	11
ENST00000647831.1	ENSG00000293478.2	GFOD3P-213	GFOD3P	11	11
ENST00000648717.1	ENSG00000293478.2	GFOD3P-220	GFOD3P	11	11
ENST00000648600.1	ENSG00000293478.2	GFOD3P-219	GFOD3P	11	11
ENST00000723234.1	ENSG00000293478.2	GFOD3P-230	GFOD3P	11	11
ENST00000423764.6	ENSG00000293478.2	GFOD3P-204	GFOD3P	11	11
ENST00000650039.2	ENSG00000293478.2	GFOD3P-228	GFOD3P	11	11
ENST00000647817.1	ENSG00000293478.2	GFOD3P-212	GFOD3P	11	11
ENST00000649123.1	ENSG00000293478.2	GFOD3P-222	GFOD3P	11	11
ENST00000648270.1	ENSG00000293478.2	GFOD3P-214	GFOD3P	11	11
ENST00000650037.1	ENSG00000293478.2	GFOD3P-227	GFOD3P	11	11
ENST00000649468.1	ENSG00000293478.2	GFOD3P-226	GFOD3P	11	11
ENST00000648553.1	ENSG00000293478.2	GFOD3P-218	GFOD3P	11	11
ENST00000649348.1	ENSG00000293478.2	GFOD3P-224	GFOD3P	11	11
ENST00000636630.1	ENSG00000293478.2	GFOD3P-210	GFOD3P	11	11
ENST00000608600.1	ENSG00000293478.2	GFOD3P-207	GFOD3P	11	11
ENST00000649413.2	ENSG00000293478.2	GFOD3P-225	GFOD3P	11	11
ENST00000647686.1	ENSG00000293478.2	GFOD3P-211	GFOD3P	11	11
ENST00000648935.1	ENSG00000293478.2	GFOD3P-221	GFOD3P	11	11
ENST00000624948.1	ENSG00000293478.2	GFOD3P-209	GFOD3P	11	11
ENST00000607459.1	ENSG00000272153.1	ENST00000607459	ENSG00000272153	11	11
ENST00000757271.1	ENSG00000236423.9	LINC01134-213	LINC01134	11	11
ENST00000413332.7	ENSG00000236423.9	LINC01134-201	LINC01134	11	11
ENST00000667408.2	ENSG00000236423.9	LINC01134-204	LINC01134	11	11
ENST00000442673.3	ENSG00000236423.9	LINC01134-203	LINC01134	11	11
ENST00000757277.1	ENSG00000236423.9	LINC01134-219	LINC01134	11	11
ENST00000693306.2	ENSG00000236423.9	LINC01134-206	LINC01134	11	11
ENST00000686089.3	ENSG00000236423.9	LINC01134-205	LINC01134	11	11
ENST00000757266.1	ENSG00000236423.9	LINC01134-208	LINC01134	11	11
ENST00000757273.1	ENSG00000236423.9	LINC01134-215	LINC01134	11	11
ENST00000757265.1	ENSG00000236423.9	LINC01134-207	LINC01134	11	11
ENST00000757272.1	ENSG00000236423.9	LINC01134-214	LINC01134	11	11
ENST00000439488.2	ENSG00000236423.9	LINC01134-202	LINC01134	11	11
ENST00000757278.1	ENSG00000236423.9	LINC01134-220	LINC01134	11	11
ENST00000757275.1	ENSG00000236423.9	LINC01134-217	LINC01134	11	11
ENST00000757267.1	ENSG00000236423.9	LINC01134-209	LINC01134	11	11
ENST00000757279.1	ENSG00000236423.9	LINC01134-221	LINC01134	11	11
ENST00000757269.1	ENSG00000236423.9	LINC01134-211	LINC01134	11	11
ENST00000757280.1	ENSG00000236423.9	LINC01134-222	LINC01134	11	11
ENST00000757270.1	ENSG00000236423.9	LINC01134-212	LINC01134	11	11
ENST00000757274.1	ENSG00000236423.9	LINC01134-216	LINC01134	11	11
ENST00000757276.1	ENSG00000236423.9	LINC01134-218	LINC01134	11	11
ENST00000456897.6	ENSG00000233304.8	LINC01346-202	LINC01346	11	11
ENST00000635619.1	ENSG00000233304.8	LINC01346-203	LINC01346	11	11
ENST00000816722.1	ENSG00000233304.8	LINC01346-206	LINC01346	11	11
ENST00000412674.1	ENSG00000233304.8	LINC01346-201	LINC01346	11	11
ENST00000635247.1	ENSG00000226374.4	LINC01345-203	LINC01345	11	11
ENST00000635127.1	ENSG00000226374.4	LINC01345-202	LINC01345	11	11
ENST00000425194.2	ENSG00000226374.4	LINC01345-201	LINC01345	11	11
ENST00000671015.1	ENSG00000226374.4	LINC01345-204	LINC01345	11	11
ENST00000816877.1	ENSG00000226374.4	LINC01345-205	LINC01345	11	11
ENST00000664502.1	ENSG00000233304.8	LINC01346-204	LINC01346	11	11
ENST00000816721.1	ENSG00000233304.8	LINC01346-205	LINC01346	11	11
ENST00000642026.2	ENSG00000284668.3	LINC02780-203	LINC02780	11	11
ENST00000742920.1	ENSG00000284668.3	LINC02780-212	LINC02780	11	11
ENST00000742919.1	ENSG00000284668.3	LINC02780-211	LINC02780	11	11
ENST00000641078.2	ENSG00000284668.3	LINC02780-201	LINC02780	11	11
ENST00000742917.1	ENSG00000284668.3	LINC02780-209	LINC02780	11	11
ENST00000742918.1	ENSG00000284668.3	LINC02780-210	LINC02780	11	11
ENST00000642139.2	ENSG00000284703.2	ENST00000642139	ENSG00000284703	11	11
ENST00000743045.1	ENSG00000284703.2	ENST00000743045	ENSG00000284703	11	11
ENST00000835193.1	ENSG00000308587.1	ENST00000835193	ENSG00000308587	11	11
ENST00000835192.1	ENSG00000308587.1	ENST00000835192	ENSG00000308587	11	11
ENST00000761402.1	ENSG00000299169.1	ENST00000761402	ENSG00000299169	11	11
ENST00000785550.1	ENSG00000302287.1	ENST00000785550	ENSG00000302287	11	11
ENST00000785551.1	ENSG00000302287.1	ENST00000785551	ENSG00000302287	11	11
ENST00000635002.1	ENSG00000235054.5	LINC01777-203	LINC01777	11	11
ENST00000635312.2	ENSG00000235054.5	LINC01777-204	LINC01777	11	11
ENST00000669931.1	ENSG00000235054.5	LINC01777-211	LINC01777	11	11
ENST00000423197.2	ENSG00000235054.5	LINC01777-201	LINC01777	11	11
ENST00000665284.1	ENSG00000235054.5	LINC01777-208	LINC01777	11	11
ENST00000663417.1	ENSG00000235054.5	LINC01777-207	LINC01777	11	11
ENST00000670434.1	ENSG00000235054.5	LINC01777-212	LINC01777	11	11
ENST00000828650.1	ENSG00000235054.5	LINC01777-214	LINC01777	11	11
ENST00000668086.1	ENSG00000235054.5	LINC01777-210	LINC01777	11	11
ENST00000828651.1	ENSG00000235054.5	LINC01777-215	LINC01777	11	11
ENST00000633821.2	ENSG00000235054.5	LINC01777-202	LINC01777	11	11
ENST00000671656.1	ENSG00000235054.5	LINC01777-213	LINC01777	11	11
ENST00000659315.1	ENSG00000235054.5	LINC01777-206	LINC01777	11	11
ENST00000667352.2	ENSG00000235054.5	LINC01777-209	LINC01777	11	11
ENST00000635642.1	ENSG00000235054.5	LINC01777-205	LINC01777	11	11
ENST00000819253.1	ENSG00000306535.1	ENST00000819253	ENSG00000306535	11	11
ENST00000641472.1	ENSG00000284694.1	ENST00000641472	ENSG00000284694	11	11
ENST00000764213.1	ENSG00000299517.1	ENST00000764213	ENSG00000299517	11	11
ENST00000438791.2	ENSG00000227169.2	ENST00000438791	ENSG00000227169	11	11
ENST00000730455.1	ENSG00000295490.1	ENST00000730455	ENSG00000295490	11	11
ENST00000634256.1	ENSG00000232596.3	LINC01646-202	LINC01646	11	11
ENST00000667354.1	ENSG00000232596.3	LINC01646-208	LINC01646	11	11
ENST00000666685.1	ENSG00000232596.3	LINC01646-207	LINC01646	11	11
ENST00000635556.1	ENSG00000232596.3	LINC01646-203	LINC01646	11	11
ENST00000659083.1	ENSG00000232596.3	LINC01646-205	LINC01646	11	11
ENST00000659059.1	ENSG00000232596.3	LINC01646-204	LINC01646	11	11
ENST00000661628.1	ENSG00000232596.3	LINC01646-206	LINC01646	11	11
ENST00000420522.1	ENSG00000232596.3	LINC01646-201	LINC01646	11	11
ENST00000772751.1	ENSG00000300565.1	ENST00000772751	ENSG00000300565	11	11
ENST00000772752.1	ENSG00000300565.1	ENST00000772752	ENSG00000300565	11	11
ENST00000772750.1	ENSG00000300565.1	ENST00000772750	ENSG00000300565	11	11
ENST00000772748.1	ENSG00000300565.1	ENST00000772748	ENSG00000300565	11	11
