transcript_id	gene_id	transcript_name	gene_name	high_confident_pass_count	strict_pass_count	basic_pass_count	genome_count	high_confident_all_genomes
ENST00000847997.1	ENSG00000310190.1	ENST00000847997	ENSG00000310190	4	4	4	11	0
ENST00000847998.1	ENSG00000310190.1	ENST00000847998	ENSG00000310190	4	4	4	11	0
ENST00000847999.1	ENSG00000310190.1	ENST00000847999	ENSG00000310190	4	4	4	11	0
ENST00000848000.1	ENSG00000310190.1	ENST00000848000	ENSG00000310190	4	4	4	11	0
ENST00000848001.1	ENSG00000310190.1	ENST00000848001	ENSG00000310190	4	4	4	11	0
ENST00000848004.1	ENSG00000310190.1	ENST00000848004	ENSG00000310190	4	4	4	11	0
ENST00000848002.1	ENSG00000310190.1	ENST00000848002	ENSG00000310190	4	4	4	11	0
ENST00000848003.1	ENSG00000310190.1	ENST00000848003	ENSG00000310190	4	4	4	11	0
ENST00000848005.1	ENSG00000310190.1	ENST00000848005	ENSG00000310190	4	4	4	11	0
ENST00000848011.1	ENSG00000310190.1	ENST00000848011	ENSG00000310190	7	7	7	11	0
ENST00000848012.1	ENSG00000310190.1	ENST00000848012	ENSG00000310190	7	7	7	11	0
ENST00000848013.1	ENSG00000310190.1	ENST00000848013	ENSG00000310190	7	7	7	11	0
ENST00000848014.1	ENSG00000310190.1	ENST00000848014	ENSG00000310190	7	7	8	11	0
ENST00000848015.1	ENSG00000310190.1	ENST00000848015	ENSG00000310190	7	7	8	11	0
ENST00000848016.1	ENSG00000310190.1	ENST00000848016	ENSG00000310190	7	7	8	11	0
ENST00000848017.1	ENSG00000310190.1	ENST00000848017	ENSG00000310190	7	7	8	11	0
ENST00000848018.1	ENSG00000310190.1	ENST00000848018	ENSG00000310190	7	7	7	11	0
ENST00000848019.1	ENSG00000310190.1	ENST00000848019	ENSG00000310190	7	7	7	11	0
ENST00000848021.1	ENSG00000310190.1	ENST00000848021	ENSG00000310190	7	7	7	11	0
ENST00000848020.1	ENSG00000310190.1	ENST00000848020	ENSG00000310190	7	7	7	11	0
ENST00000848022.1	ENSG00000310190.1	ENST00000848022	ENSG00000310190	7	7	8	11	0
ENST00000848023.1	ENSG00000310190.1	ENST00000848023	ENSG00000310190	7	7	7	11	0
ENST00000848024.1	ENSG00000310190.1	ENST00000848024	ENSG00000310190	7	7	8	11	0
ENST00000848025.1	ENSG00000310190.1	ENST00000848025	ENSG00000310190	7	7	8	11	0
ENST00000848026.1	ENSG00000310190.1	ENST00000848026	ENSG00000310190	7	7	7	11	0
ENST00000848027.1	ENSG00000310190.1	ENST00000848027	ENSG00000310190	7	7	8	11	0
ENST00000848028.1	ENSG00000310190.1	ENST00000848028	ENSG00000310190	7	7	7	11	0
ENST00000848029.1	ENSG00000310190.1	ENST00000848029	ENSG00000310190	7	7	8	11	0
ENST00000848030.1	ENSG00000310190.1	ENST00000848030	ENSG00000310190	7	7	8	11	0
ENST00000848031.1	ENSG00000310190.1	ENST00000848031	ENSG00000310190	8	8	8	11	0
ENST00000598846.1	ENSG00000268575.1	ENST00000598846	ENSG00000268575	11	11	11	11	1
ENST00000847759.1	ENSG00000293188.2	ENST00000847759	ENSG00000293188	9	9	11	11	0
ENST00000848397.1	ENSG00000272004.2	ENST00000848397	ENSG00000272004	8	8	8	11	0
ENST00000848398.1	ENSG00000272004.2	ENST00000848398	ENSG00000272004	8	8	10	11	0
ENST00000607013.2	ENSG00000272004.2	ENST00000607013	ENSG00000272004	8	8	10	11	0
ENST00000847760.1	ENSG00000293188.2	ENST00000847760	ENSG00000293188	11	11	11	11	1
ENST00000847758.1	ENSG00000293188.2	ENST00000847758	ENSG00000293188	4	4	6	11	0
ENST00000577672.2	ENSG00000293188.2	ENST00000577672	ENSG00000293188	8	8	8	11	0
ENST00000848399.1	ENSG00000272004.2	ENST00000848399	ENSG00000272004	8	8	10	11	0
ENST00000417099.1	ENSG00000293188.2	ENST00000417099	ENSG00000293188	8	8	10	11	0
ENST00000647043.1	ENSG00000290854.2	ENST00000647043	ENSG00000290854	10	10	11	11	0
ENST00000475229.2	ENSG00000290854.2	ENST00000475229	ENSG00000290854	4	6	6	11	0
ENST00000246421.4	ENSG00000290854.2	ENST00000246421	ENSG00000290854	6	11	11	11	0
ENST00000847564.1	ENSG00000290854.2	ENST00000847564	ENSG00000290854	6	11	11	11	0
ENST00000596308.1	ENSG00000293187.1	ENST00000596308	ENSG00000293187	9	9	11	11	0
ENST00000424604.1	ENSG00000293188.2	ENST00000424604	ENSG00000293188	4	4	4	11	0
ENST00000848009.1	ENSG00000310190.1	ENST00000848009	ENSG00000310190	11	11	11	11	1
ENST00000848007.1	ENSG00000310190.1	ENST00000848007	ENSG00000310190	9	9	9	11	0
ENST00000848008.1	ENSG00000310190.1	ENST00000848008	ENSG00000310190	9	9	11	11	0
ENST00000848006.1	ENSG00000310190.1	ENST00000848006	ENSG00000310190	11	11	11	11	1
ENST00000848498.1	ENSG00000310238.1	ENST00000848498	ENSG00000310238	4	4	4	11	0
ENST00000848499.1	ENSG00000310238.1	ENST00000848499	ENSG00000310238	4	4	4	11	0
ENST00000848497.1	ENSG00000310238.1	ENST00000848497	ENSG00000310238	4	4	4	11	0
ENST00000787791.1	ENSG00000302550.1	ENST00000787791	ENSG00000302550	11	11	11	11	1
ENST00000787790.1	ENSG00000302550.1	ENST00000787790	ENSG00000302550	11	11	11	11	1
ENST00000787789.1	ENSG00000302550.1	ENST00000787789	ENSG00000302550	11	11	11	11	1
ENST00000798456.1	ENSG00000231050.4	GNB1-DT-206	GNB1-DT	11	11	11	11	1
ENST00000798458.1	ENSG00000231050.4	GNB1-DT-208	GNB1-DT	11	11	11	11	1
ENST00000689170.2	ENSG00000231050.4	GNB1-DT-204	GNB1-DT	11	11	11	11	1
ENST00000798457.1	ENSG00000231050.4	GNB1-DT-207	GNB1-DT	11	11	11	11	1
ENST00000686550.2	ENSG00000231050.4	GNB1-DT-203	GNB1-DT	11	11	11	11	1
ENST00000798462.1	ENSG00000231050.4	GNB1-DT-212	GNB1-DT	11	11	11	11	1
ENST00000685593.2	ENSG00000231050.4	GNB1-DT-202	GNB1-DT	10	10	11	11	0
ENST00000702668.2	ENSG00000231050.4	GNB1-DT-205	GNB1-DT	11	11	11	11	1
ENST00000798459.1	ENSG00000231050.4	GNB1-DT-209	GNB1-DT	11	11	11	11	1
ENST00000798460.1	ENSG00000231050.4	GNB1-DT-210	GNB1-DT	11	11	11	11	1
ENST00000798461.1	ENSG00000231050.4	GNB1-DT-211	GNB1-DT	11	11	11	11	1
ENST00000798463.1	ENSG00000231050.4	GNB1-DT-213	GNB1-DT	9	9	11	11	0
ENST00000798464.1	ENSG00000231050.4	GNB1-DT-214	GNB1-DT	9	9	11	11	0
ENST00000798640.1	ENSG00000303984.1	ENST00000798640	ENSG00000303984	11	11	11	11	1
ENST00000412228.1	ENSG00000231050.4	GNB1-DT-201	GNB1-DT	11	11	11	11	1
ENST00000798465.1	ENSG00000231050.4	GNB1-DT-215	GNB1-DT	11	11	11	11	1
ENST00000798466.1	ENSG00000231050.4	GNB1-DT-216	GNB1-DT	11	11	11	11	1
ENST00000798467.1	ENSG00000231050.4	GNB1-DT-217	GNB1-DT	11	11	11	11	1
ENST00000798468.1	ENSG00000231050.4	GNB1-DT-218	GNB1-DT	9	11	11	11	0
ENST00000726656.1	ENSG00000294910.1	ENST00000726656	ENSG00000294910	11	11	11	11	1
ENST00000726655.1	ENSG00000294910.1	ENST00000726655	ENSG00000294910	11	11	11	11	1
ENST00000726657.1	ENSG00000294910.1	ENST00000726657	ENSG00000294910	11	11	11	11	1
ENST00000818893.1	ENSG00000306476.1	ENST00000818893	ENSG00000306476	9	9	9	11	0
ENST00000443930.2	ENSG00000233542.3	ENST00000443930	ENSG00000233542	11	11	11	11	1
ENST00000659674.2	ENSG00000233542.3	ENST00000659674	ENSG00000233542	11	11	11	11	1
ENST00000757332.1	ENSG00000233542.3	ENST00000757332	ENSG00000233542	11	11	11	11	1
ENST00000757331.1	ENSG00000233542.3	ENST00000757331	ENSG00000233542	9	9	9	11	0
ENST00000757333.1	ENSG00000233542.3	ENST00000757333	ENSG00000233542	10	11	11	11	0
ENST00000807392.1	ENSG00000304958.1	ENST00000807392	ENSG00000304958	11	11	11	11	1
ENST00000807397.1	ENSG00000304958.1	ENST00000807397	ENSG00000304958	11	11	11	11	1
ENST00000807396.1	ENSG00000304958.1	ENST00000807396	ENSG00000304958	11	11	11	11	1
ENST00000807395.1	ENSG00000304958.1	ENST00000807395	ENSG00000304958	11	11	11	11	1
ENST00000807394.1	ENSG00000304958.1	ENST00000807394	ENSG00000304958	11	11	11	11	1
ENST00000807393.1	ENSG00000304958.1	ENST00000807393	ENSG00000304958	11	11	11	11	1
ENST00000807391.1	ENSG00000304958.1	ENST00000807391	ENSG00000304958	11	11	11	11	1
ENST00000807390.1	ENSG00000304958.1	ENST00000807390	ENSG00000304958	11	11	11	11	1
ENST00000445600.2	ENSG00000226969.2	PRKCZ-DT-201	PRKCZ-DT	11	11	11	11	1
ENST00000776845.1	ENSG00000226969.2	PRKCZ-DT-203	PRKCZ-DT	11	11	11	11	1
ENST00000449154.1	ENSG00000226969.2	PRKCZ-DT-202	PRKCZ-DT	11	11	11	11	1
ENST00000832148.1	ENSG00000308181.1	ENST00000832148	ENSG00000308181	11	11	11	11	1
ENST00000832149.1	ENSG00000308181.1	ENST00000832149	ENSG00000308181	11	11	11	11	1
ENST00000606533.1	ENSG00000271806.1	ENST00000606533	ENSG00000271806	9	9	9	11	0
ENST00000333854.2	ENSG00000182873.5	PRKCZ-AS1-201	PRKCZ-AS1	9	9	11	11	0
ENST00000444529.1	ENSG00000182873.5	PRKCZ-AS1-202	PRKCZ-AS1	9	11	11	11	0
ENST00000799045.1	ENSG00000304038.1	ENST00000799045	ENSG00000304038	11	11	11	11	1
ENST00000799046.1	ENSG00000304038.1	ENST00000799046	ENSG00000304038	11	11	11	11	1
ENST00000442483.2	ENSG00000234396.3	ENST00000442483	ENSG00000234396	11	11	11	11	1
ENST00000800005.1	ENSG00000304143.1	ENST00000800005	ENSG00000304143	11	11	11	11	1
ENST00000730475.1	ENSG00000295493.1	ENST00000730475	ENSG00000295493	11	11	11	11	1
ENST00000810882.1	ENSG00000287356.2	ENST00000810882	ENSG00000287356	11	11	11	11	1
ENST00000810881.1	ENSG00000287356.2	ENST00000810881	ENSG00000287356	10	11	11	11	0
ENST00000810880.1	ENSG00000287356.2	ENST00000810880	ENSG00000287356	10	10	10	11	0
ENST00000810883.1	ENSG00000287356.2	ENST00000810883	ENSG00000287356	10	10	10	11	0
ENST00000810884.1	ENSG00000287356.2	ENST00000810884	ENSG00000287356	11	11	11	11	1
ENST00000810885.1	ENSG00000287356.2	ENST00000810885	ENSG00000287356	11	11	11	11	1
ENST00000810894.1	ENSG00000287356.2	ENST00000810894	ENSG00000287356	10	11	11	11	0
ENST00000810888.1	ENSG00000287356.2	ENST00000810888	ENSG00000287356	10	11	11	11	0
ENST00000810886.1	ENSG00000287356.2	ENST00000810886	ENSG00000287356	10	11	11	11	0
ENST00000810887.1	ENSG00000287356.2	ENST00000810887	ENSG00000287356	11	11	11	11	1
ENST00000810889.1	ENSG00000287356.2	ENST00000810889	ENSG00000287356	11	11	11	11	1
ENST00000810890.1	ENSG00000287356.2	ENST00000810890	ENSG00000287356	11	11	11	11	1
ENST00000810891.1	ENSG00000287356.2	ENST00000810891	ENSG00000287356	11	11	11	11	1
ENST00000659232.1	ENSG00000287356.2	ENST00000659232	ENSG00000287356	11	11	11	11	1
ENST00000661319.1	ENSG00000287356.2	ENST00000661319	ENSG00000287356	11	11	11	11	1
ENST00000810892.1	ENSG00000287356.2	ENST00000810892	ENSG00000287356	11	11	11	11	1
ENST00000810893.1	ENSG00000287356.2	ENST00000810893	ENSG00000287356	11	11	11	11	1
ENST00000810895.1	ENSG00000287356.2	ENST00000810895	ENSG00000287356	9	11	11	11	0
ENST00000810896.1	ENSG00000287356.2	ENST00000810896	ENSG00000287356	11	11	11	11	1
ENST00000607720.1	ENSG00000272161.1	ENST00000607720	ENSG00000272161	9	9	11	11	0
ENST00000602865.1	ENSG00000292993.1	ENST00000602865	ENSG00000292993	11	11	11	11	1
ENST00000607858.1	ENSG00000272420.1	ENST00000607858	ENSG00000272420	11	11	11	11	1
ENST00000729642.1	ENSG00000295371.1	ENST00000729642	ENSG00000295371	10	10	10	11	0
ENST00000424657.1	ENSG00000224387.1	ENST00000424657	ENSG00000224387	11	11	11	11	1
ENST00000629671.1	ENSG00000281225.1	ENST00000629671	ENSG00000281225	11	11	11	11	1
ENST00000442305.1	ENSG00000229393.1	ENST00000442305	ENSG00000229393	11	11	11	11	1
ENST00000626056.1	ENSG00000281274.1	ENST00000626056	ENSG00000281274	11	11	11	11	1
ENST00000644246.1	ENSG00000272449.4	ENST00000644246	ENSG00000272449	11	11	11	11	1
ENST00000829790.1	ENSG00000238164.7	TNFRSF14-AS1-210	TNFRSF14-AS1	11	11	11	11	1
ENST00000829791.1	ENSG00000238164.7	TNFRSF14-AS1-211	TNFRSF14-AS1	11	11	11	11	1
ENST00000448624.3	ENSG00000238164.7	TNFRSF14-AS1-204	TNFRSF14-AS1	10	10	11	11	0
ENST00000829792.1	ENSG00000238164.7	TNFRSF14-AS1-212	TNFRSF14-AS1	8	8	9	11	0
ENST00000829795.1	ENSG00000238164.7	TNFRSF14-AS1-215	TNFRSF14-AS1	9	11	11	11	0
ENST00000829787.1	ENSG00000238164.7	TNFRSF14-AS1-207	TNFRSF14-AS1	9	9	11	11	0
ENST00000829788.1	ENSG00000238164.7	TNFRSF14-AS1-208	TNFRSF14-AS1	8	9	10	11	0
ENST00000829793.1	ENSG00000238164.7	TNFRSF14-AS1-213	TNFRSF14-AS1	8	8	8	11	0
ENST00000829797.1	ENSG00000238164.7	TNFRSF14-AS1-217	TNFRSF14-AS1	11	11	11	11	1
ENST00000829796.1	ENSG00000238164.7	TNFRSF14-AS1-216	TNFRSF14-AS1	11	11	11	11	1
ENST00000606645.4	ENSG00000272449.4	ENST00000606645	ENSG00000272449	10	10	10	11	0
ENST00000628819.1	ENSG00000281734.1	ENST00000628819	ENSG00000281734	10	10	10	11	0
ENST00000449660.5	ENSG00000238164.7	TNFRSF14-AS1-205	TNFRSF14-AS1	9	9	9	11	0
ENST00000829794.1	ENSG00000238164.7	TNFRSF14-AS1-214	TNFRSF14-AS1	9	9	11	11	0
ENST00000443892.3	ENSG00000238164.7	TNFRSF14-AS1-203	TNFRSF14-AS1	11	11	11	11	1
ENST00000452793.2	ENSG00000238164.7	TNFRSF14-AS1-206	TNFRSF14-AS1	9	9	10	11	0
ENST00000829789.1	ENSG00000238164.7	TNFRSF14-AS1-209	TNFRSF14-AS1	10	11	11	11	0
ENST00000416860.4	ENSG00000238164.7	TNFRSF14-AS1-201	TNFRSF14-AS1	11	11	11	11	1
ENST00000628828.2	ENSG00000281197.2	TNFRSF14-AS1-224	TNFRSF14-AS1	9	9	9	11	0
ENST00000625309.1	ENSG00000281197.2	TNFRSF14-AS1-220	TNFRSF14-AS1	11	11	11	11	1
ENST00000625655.1	ENSG00000281197.2	TNFRSF14-AS1-221	TNFRSF14-AS1	11	11	11	11	1
ENST00000628371.1	ENSG00000281197.2	TNFRSF14-AS1-222	TNFRSF14-AS1	10	10	11	11	0
ENST00000432521.3	ENSG00000238164.7	TNFRSF14-AS1-202	TNFRSF14-AS1	11	11	11	11	1
ENST00000628438.1	ENSG00000281197.2	TNFRSF14-AS1-223	TNFRSF14-AS1	11	11	11	11	1
ENST00000830164.1	ENSG00000307979.1	ENST00000830164	ENSG00000307979	9	9	10	11	0
ENST00000630444.1	ENSG00000281197.2	TNFRSF14-AS1-225	TNFRSF14-AS1	10	10	11	11	0
ENST00000829799.1	ENSG00000238164.7	TNFRSF14-AS1-219	TNFRSF14-AS1	11	11	11	11	1
ENST00000829798.1	ENSG00000238164.7	TNFRSF14-AS1-218	TNFRSF14-AS1	11	11	11	11	1
ENST00000456687.3	ENSG00000225931.3	ENST00000456687	ENSG00000225931	9	9	11	11	0
ENST00000631103.1	ENSG00000280609.1	ENST00000631103	ENSG00000280609	9	9	11	11	0
ENST00000830048.1	ENSG00000307958.1	ENST00000830048	ENSG00000307958	11	11	11	11	1
ENST00000424215.2	ENSG00000228037.2	ENST00000424215	ENSG00000228037	11	11	11	11	1
ENST00000829924.1	ENSG00000228037.2	ENST00000829924	ENSG00000228037	11	11	11	11	1
ENST00000629855.1	ENSG00000281740.1	ENST00000629855	ENSG00000281740	11	11	11	11	1
ENST00000686752.3	ENSG00000289610.3	ENST00000686752	ENSG00000289610	11	11	11	11	1
ENST00000723522.1	ENSG00000237058.2	MMEL1-AS1-202	MMEL1-AS1	9	11	11	11	0
ENST00000723523.1	ENSG00000237058.2	MMEL1-AS1-203	MMEL1-AS1	9	11	11	11	0
ENST00000427302.2	ENSG00000237058.2	MMEL1-AS1-201	MMEL1-AS1	11	11	11	11	1
ENST00000723524.1	ENSG00000237058.2	MMEL1-AS1-204	MMEL1-AS1	9	11	11	11	0
ENST00000723525.1	ENSG00000237058.2	MMEL1-AS1-205	MMEL1-AS1	9	11	11	11	0
ENST00000627832.1	ENSG00000280645.1	MMEL1-AS1-213	MMEL1-AS1	9	11	11	11	0
ENST00000723526.1	ENSG00000237058.2	MMEL1-AS1-206	MMEL1-AS1	9	11	11	11	0
ENST00000723527.1	ENSG00000237058.2	MMEL1-AS1-207	MMEL1-AS1	9	11	11	11	0
ENST00000723528.1	ENSG00000237058.2	MMEL1-AS1-208	MMEL1-AS1	11	11	11	11	1
ENST00000723529.1	ENSG00000237058.2	MMEL1-AS1-209	MMEL1-AS1	9	11	11	11	0
ENST00000723530.1	ENSG00000237058.2	MMEL1-AS1-210	MMEL1-AS1	11	11	11	11	1
ENST00000723531.1	ENSG00000237058.2	MMEL1-AS1-211	MMEL1-AS1	9	11	11	11	0
ENST00000723532.1	ENSG00000237058.2	MMEL1-AS1-212	MMEL1-AS1	11	11	11	11	1
ENST00000648684.1	ENSG00000285945.1	ENST00000648684	ENSG00000285945	9	9	9	11	0
ENST00000638002.1	ENSG00000283259.1	ENST00000638002	ENSG00000283259	4	4	8	11	0
ENST00000457440.1	ENSG00000233234.1	ENST00000457440	ENSG00000233234	11	11	11	11	1
ENST00000664694.2	ENSG00000287396.2	ENST00000664694	ENSG00000287396	9	9	9	11	0
ENST00000776895.1	ENSG00000287396.2	ENST00000776895	ENSG00000287396	9	9	9	11	0
ENST00000776896.1	ENSG00000287396.2	ENST00000776896	ENSG00000287396	9	9	9	11	0
ENST00000429389.1	ENSG00000231630.1	ENST00000429389	ENSG00000231630	9	9	9	11	0
ENST00000790074.1	ENSG00000302855.1	ENST00000790074	ENSG00000302855	11	11	11	11	1
ENST00000727914.1	ENSG00000295089.1	ENST00000727914	ENSG00000295089	11	11	11	11	1
ENST00000767974.1	ENSG00000300015.1	ENST00000767974	ENSG00000300015	11	11	11	11	1
ENST00000641229.2	ENSG00000284745.2	ENST00000641229	ENSG00000284745	11	11	11	11	1
ENST00000724113.1	ENSG00000284745.2	ENST00000724113	ENSG00000284745	11	11	11	11	1
ENST00000724114.1	ENSG00000284745.2	ENST00000724114	ENSG00000284745	11	11	11	11	1
ENST00000642073.1	ENSG00000284745.2	ENST00000642073	ENSG00000284745	11	11	11	11	1
ENST00000818096.1	ENSG00000177133.15	PRDM16-DT-216	PRDM16-DT	11	11	11	11	1
ENST00000818092.1	ENSG00000177133.15	PRDM16-DT-212	PRDM16-DT	10	11	11	11	0
