gene_id	gene_name	transcript_count	alignment_strict_transcripts	bonobo_kmer_strict_transcripts	all_genomes_kmer_strict_transcripts	bonobo_three_way_transcripts	all_genomes_three_way_transcripts	expression_available	gene_expressed	expressed_sample_count	expressed_sample_fraction	mean_fpkm	median_fpkm	max_fpkm	alignment_strict	bonobo_kmer_strict	all_genomes_kmer_strict	kmer_conservation_class
ENSG00000294910.1	ENSG00000294910	3	3	3	0	3	0	True	True	92.0	0.9387755102040817	12.627351404204324	7.876386238264891	66.2339831922101	True	True	False	Strict in bonobo only
ENSG00000306476.1	ENSG00000306476	1	1	1	0	1	0	True	True	54.0	0.5510204081632653	3.164607186073541	2.367523712183885	23.7593847193702	True	True	False	Strict in bonobo only
ENSG00000233542.3	ENSG00000233542	5	5	5	0	5	0	True	True	98.0	1.0	16.25647989332546	11.0411774281506	239.841805577953	True	True	False	Strict in bonobo only
ENSG00000304958.1	ENSG00000304958	8	8	8	0	8	0	True	True	79.0	0.8061224489795918	2.867236389301151	2.070619204897715	22.3619353347776	True	True	False	Strict in bonobo only
ENSG00000226969.2	PRKCZ-DT	3	3	3	0	3	0	True	True	60.0	0.6122448979591837	3.0448682898522903	1.21945087310152	32.1389417196236	True	True	False	Strict in bonobo only
ENSG00000308181.1	ENSG00000308181	2	2	2	0	2	0	True	True	47.0	0.47959183673469385	0.7842284521672206	0.0	5.1774855106191	True	True	False	Strict in bonobo only
ENSG00000271806.1	ENSG00000271806	1	1	1	0	1	0	True	True	98.0	1.0	68.75166791940241	56.4696498345213	285.014334666677	True	True	False	Strict in bonobo only
ENSG00000182873.5	PRKCZ-AS1	2	2	2	0	2	0	True	True	98.0	1.0	19.06675589306883	16.76016556593355	81.3768751252577	True	True	False	Strict in bonobo only
ENSG00000304038.1	ENSG00000304038	2	2	2	2	2	2	True	True	68.0	0.6938775510204082	1.4595891170697937	1.0075657624190901	6.01421782745595	True	True	True	Strict across all genomes
ENSG00000234396.3	ENSG00000234396	1	1	1	1	1	1	True	True	83.0	0.8469387755102041	11.372719549406844	9.591201362548976	53.8993881349751	True	True	True	Strict across all genomes
ENSG00000304143.1	ENSG00000304143	1	1	1	0	1	0	True	True	44.0	0.4489795918367347	1.3150349024762527	0.0	8.13522498530907	True	True	False	Strict in bonobo only
ENSG00000295493.1	ENSG00000295493	1	1	1	0	1	0	True	True	36.0	0.3673469387755102	4.5532619654257935	0.0	90.951459957686	True	True	False	Strict in bonobo only
ENSG00000287356.2	ENSG00000287356	19	19	19	1	19	1	True	True	98.0	1.0	5.8588362568057395	4.0483499200411	84.583412630456	True	True	True	Strict across all genomes
ENSG00000272161.1	ENSG00000272161	1	1	1	0	1	0	True	True	68.0	0.6938775510204082	5.579749830609387	2.6751439656088953	53.490677922458	True	True	False	Strict in bonobo only
ENSG00000292993.1	ENSG00000292993	1	1	1	0	1	0	True	True	63.0	0.6428571428571429	1.1733272270119235	0.613623506493463	20.0638631064968	True	True	False	Strict in bonobo only
ENSG00000272420.1	ENSG00000272420	1	1	1	0	1	0	True	True	97.0	0.9897959183673469	28.05821598441881	20.4875101894376	180.580541246921	True	True	False	Strict in bonobo only
ENSG00000295371.1	ENSG00000295371	1	1	1	0	1	0	True	True	95.0	0.9693877551020408	14.022323554328372	10.65271378044935	88.3965133872666	True	True	False	Strict in bonobo only
ENSG00000224387.1	ENSG00000224387	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000281225.1	ENSG00000281225	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000229393.1	ENSG00000229393	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000281274.1	ENSG00000281274	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000272449.4	ENSG00000272449	2	2	2	1	2	1	True	True	78.0	0.7959183673469388	1.9744588629057258	1.30072527405179	11.0665561403193	True	True	True	Strict across all genomes
ENSG00000238164.7	TNFRSF14-AS1	19	19	19	0	19	0	True	True	97.0	0.9897959183673469	1.2257467788013117	0.955390632296131	4.31445618074224	True	True	False	Strict in bonobo only
ENSG00000281734.1	ENSG00000281734	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000281197.2	TNFRSF14-AS1	6	6	6	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000307979.1	ENSG00000307979	1	1	1	0	1	0	True	True	2.0	0.02040816326530612	0.013982605069081725	0.0	0.83001665732209	True	True	False	Strict in bonobo only
ENSG00000225931.3	ENSG00000225931	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000280609.1	ENSG00000280609	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000307958.1	ENSG00000307958	1	1	1	0	1	0	True	True	31.0	0.3163265306122449	0.46899764005982053	0.0	6.22528515105393	True	True	False	Strict in bonobo only
ENSG00000228037.2	ENSG00000228037	2	2	2	1	2	1	True	True	72.0	0.7346938775510204	1.5754465343316737	0.9301295423166089	8.18764159085981	True	True	True	Strict across all genomes
ENSG00000281740.1	ENSG00000281740	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000289610.3	ENSG00000289610	1	1	1	0	1	0	True	True	8.0	0.08163265306122448	0.18502534543458776	0.0	5.71695069535357	True	True	False	Strict in bonobo only
ENSG00000237058.2	MMEL1-AS1	12	12	12	7	12	7	True	True	50.0	0.5102040816326531	1.2966568112601506	0.4588192532795965	23.1501976215258	True	True	True	Strict across all genomes
ENSG00000280645.1	MMEL1-AS1	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000285945.1	ENSG00000285945	1	1	1	0	1	0	True	True	41.0	0.41836734693877553	1.776498071888137	0.0	16.5269697007759	True	True	False	Strict in bonobo only
ENSG00000283259.1	ENSG00000283259	1	0	1	0	0	0	False	False	0.0	0.0	0.0	0.0	0.0	False	False	False	Not strict in bonobo
ENSG00000233234.1	ENSG00000233234	1	1	1	0	1	0	True	True	43.0	0.4387755102040816	1.7782913945031678	0.0	13.6422090438938	True	True	False	Strict in bonobo only
ENSG00000287396.2	ENSG00000287396	3	3	3	0	3	0	True	True	3.0	0.030612244897959183	0.04606569306713041	0.0	2.06407005552843	True	True	False	Strict in bonobo only
ENSG00000231630.1	ENSG00000231630	1	1	1	0	1	0	True	True	3.0	0.030612244897959183	0.12179521466456224	0.0	5.46769426512683	True	True	False	Strict in bonobo only
ENSG00000302855.1	ENSG00000302855	1	1	1	0	1	0	True	True	1.0	0.01020408163265306	0.015015215229157348	0.0	1.47149109245742	True	True	False	Strict in bonobo only
ENSG00000295089.1	ENSG00000295089	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000300015.1	ENSG00000300015	1	1	1	0	1	0	True	True	30.0	0.30612244897959184	1.1060157031954607	0.0	12.9847845956161	True	True	False	Strict in bonobo only
ENSG00000284745.2	ENSG00000284745	4	4	4	0	4	0	True	True	51.0	0.5204081632653061	0.6987997597738664	0.2984957722887325	5.46872983168515	True	True	False	Strict in bonobo only
ENSG00000177133.15	PRDM16-DT	40	40	40	0	40	0	True	True	98.0	1.0	28.399119238837613	18.465260258514903	110.927932436072	True	True	False	Strict in bonobo only
ENSG00000226286.1	ENSG00000226286	1	1	1	0	1	0	True	True	7.0	0.07142857142857142	0.1650185771598032	0.0	4.6702835833554	True	True	False	Strict in bonobo only
ENSG00000306427.1	ENSG00000306427	2	2	2	0	2	0	True	True	56.0	0.5714285714285714	1.6986494794821754	1.220682843475935	8.25897407321382	True	True	False	Strict in bonobo only
ENSG00000279839.1	ENSG00000279839	1	1	1	1	1	1	True	True	58.0	0.5918367346938775	0.6294125998361	0.297607581932659	6.09720440533353	True	True	True	Strict across all genomes
ENSG00000306439.1	ENSG00000306439	1	1	1	0	1	0	True	True	62.0	0.6326530612244898	3.186897172753591	1.5139497109334	28.7412545679482	True	True	False	Strict in bonobo only
ENSG00000272235.1	ENSG00000272235	1	1	1	0	1	0	True	True	24.0	0.24489795918367346	0.13198043908293122	0.0	1.78895136765761	True	True	False	Strict in bonobo only
ENSG00000287828.2	ENSG00000287828	4	4	4	0	4	0	True	True	86.0	0.8775510204081632	6.092894779965166	4.38552280646085	25.2781929914073	True	True	False	Strict in bonobo only
ENSG00000286518.1	ENSG00000286518	1	1	1	0	1	0	True	True	39.0	0.3979591836734694	0.2948581921370946	0.0	2.3914193880305	True	True	False	Strict in bonobo only
ENSG00000295754.1	ENSG00000295754	1	1	1	0	1	0	True	True	19.0	0.19387755102040816	0.44117964212666927	0.0	7.71413699894863	True	True	False	Strict in bonobo only
ENSG00000297626.1	ENSG00000297626	1	1	1	0	1	0	True	True	11.0	0.11224489795918367	0.2193132678329963	0.0	3.51097004345562	True	True	False	Strict in bonobo only
ENSG00000272088.1	ENSG00000272088	1	1	1	0	1	0	True	True	18.0	0.1836734693877551	0.7488038377725733	0.0	17.6713791110055	True	True	False	Strict in bonobo only
ENSG00000309127.1	ENSG00000309127	1	1	1	1	1	1	True	True	3.0	0.030612244897959183	0.1569542989876544	0.0	10.9354215351846	True	True	True	Strict across all genomes
ENSG00000238260.4	ENSG00000238260	12	12	12	0	12	0	True	True	98.0	1.0	11.323158753320705	9.79555578252503	69.2903585416214	True	True	False	Strict in bonobo only
ENSG00000227589.1	TP73-AS3	1	1	1	0	1	0	True	True	51.0	0.5204081632653061	1.8711200264414456	1.08045263707168	13.3227163971949	True	True	False	Strict in bonobo only
ENSG00000235131.1	TP73-AS2	1	1	1	0	1	0	True	True	5.0	0.05102040816326531	0.1674760887730297	0.0	4.67643602366506	True	True	False	Strict in bonobo only
ENSG00000293478.2	GFOD3P	31	31	31	0	31	0	True	True	98.0	1.0	26.39172776770244	22.53837853907875	79.990882391366	True	True	False	Strict in bonobo only
ENSG00000296834.1	ENSG00000296834	1	1	1	0	1	0	True	True	76.0	0.7755102040816326	5.370884821502409	4.11996124105262	25.5764667405651	True	True	False	Strict in bonobo only
ENSG00000272153.1	ENSG00000272153	1	1	1	1	1	1	True	True	98.0	1.0	205.47578467102744	189.3861946148895	855.563888008876	True	True	True	Strict across all genomes
ENSG00000236423.9	LINC01134	24	24	24	15	24	15	True	True	98.0	1.0	3.159782580771572	2.88932499337509	19.5081753049594	True	True	True	Strict across all genomes
ENSG00000233304.8	LINC01346	6	6	6	1	6	1	True	True	87.0	0.8877551020408163	0.9410919120202986	0.710213637478414	7.06355329657067	True	True	True	Strict across all genomes
ENSG00000226374.4	LINC01345	5	5	5	0	5	0	True	True	10.0	0.10204081632653061	0.056326051722331946	0.0	0.898126059258855	True	True	False	Strict in bonobo only
ENSG00000284668.3	LINC02780	13	12	13	6	12	5	True	True	77.0	0.7857142857142857	0.7782584849721392	0.5139780614765285	6.34512894496237	True	True	True	Strict across all genomes
ENSG00000284703.2	ENSG00000284703	2	2	2	0	2	0	True	True	91.0	0.9285714285714286	3.1079332564777506	2.04003295387633	25.5837323040671	True	True	False	Strict in bonobo only
ENSG00000296871.1	ENSG00000296871	1	1	1	0	1	0	True	True	36.0	0.3673469387755102	0.5217719270913589	0.0	5.06856816028626	True	True	False	Strict in bonobo only
ENSG00000308587.1	ENSG00000308587	2	2	2	0	2	0	True	True	16.0	0.16326530612244897	0.3260909259685232	0.0	5.06624841746231	True	True	False	Strict in bonobo only
ENSG00000301255.1	ENSG00000301255	1	1	1	0	1	0	True	True	20.0	0.20408163265306123	0.6478742616756152	0.0	13.8711051687913	True	True	False	Strict in bonobo only
ENSG00000299169.1	ENSG00000299169	1	1	1	0	1	0	True	True	51.0	0.5204081632653061	0.9981857993295514	0.41757995854080554	6.97759788703452	True	True	False	Strict in bonobo only
ENSG00000302287.1	ENSG00000302287	2	2	2	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000235054.5	LINC01777	15	15	15	12	15	12	True	True	32.0	0.32653061224489793	0.17431411812542008	0.0	1.6651573310583	True	True	True	Strict across all genomes
ENSG00000306535.1	ENSG00000306535	1	1	1	0	1	0	True	True	1.0	0.01020408163265306	0.012748818387273573	0.0	1.24938420195281	True	True	False	Strict in bonobo only
ENSG00000284694.1	ENSG00000284694	1	1	1	0	1	0	True	True	52.0	0.5306122448979592	0.35105177294805334	0.227701238015412	2.20875119104975	True	True	False	Strict in bonobo only
ENSG00000299517.1	ENSG00000299517	1	1	1	0	1	0	True	True	2.0	0.02040816326530612	0.02404717983683654	0.0	1.47545433576834	True	True	False	Strict in bonobo only
ENSG00000227169.2	ENSG00000227169	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000295490.1	ENSG00000295490	1	1	1	0	1	0	True	True	39.0	0.3979591836734694	2.3596130979924714	0.0	18.1794603608987	True	True	False	Strict in bonobo only
ENSG00000232596.3	LINC01646	8	8	8	0	8	0	True	True	82.0	0.8367346938775511	1.115426747082699	0.73026943332178	6.15555118189712	True	True	False	Strict in bonobo only
ENSG00000300565.1	ENSG00000300565	5	5	5	0	5	0	True	True	84.0	0.8571428571428571	2.820639471072667	2.1528734758527603	20.731366914981	True	True	False	Strict in bonobo only
ENSG00000303830.1	ENSG00000303830	10	10	10	0	10	0	True	True	40.0	0.40816326530612246	0.5840314258650057	0.0	4.86207462168601	True	True	False	Strict in bonobo only
ENSG00000287586.1	ENSG00000287586	2	2	2	0	2	0	True	True	83.0	0.8469387755102041	1.5297358638880714	0.995873293619986	10.2570455094288	True	True	False	Strict in bonobo only
ENSG00000284739.2	ENSG00000284739	3	3	3	0	3	0	True	True	4.0	0.04081632653061224	0.0938041185286039	0.0	3.42549424640969	True	True	False	Strict in bonobo only
ENSG00000284674.1	LINC02781	1	1	1	0	1	0	True	True	71.0	0.7244897959183674	2.0441220977971297	1.3429110182472601	13.9415454324828	True	True	False	Strict in bonobo only
ENSG00000309102.1	ENSG00000309102	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000309111.1	ENSG00000309111	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000231510.1	LINC02782	1	1	1	0	1	0	True	True	53.0	0.5408163265306123	3.1086593461341367	1.73688363385416	19.6166071449764	True	True	False	Strict in bonobo only
ENSG00000296716.1	ENSG00000296716	1	1	1	0	1	0	True	True	9.0	0.09183673469387756	0.22081589048526812	0.0	6.83893370765097	True	True	False	Strict in bonobo only
ENSG00000302269.1	ENSG00000302269	1	1	1	0	1	0	True	True	4.0	0.04081632653061224	0.04440878259911436	0.0	1.30235385664849	True	True	False	Strict in bonobo only
ENSG00000306645.1	ENSG00000306645	1	1	1	0	1	0	True	True	32.0	0.32653061224489793	1.2133687941812616	0.0	39.1825690253322	True	True	False	Strict in bonobo only
ENSG00000284616.1	ENSG00000284616	1	1	1	0	1	0	True	True	71.0	0.7244897959183674	2.127958734599579	1.32431973072448	11.5257744092908	True	True	False	Strict in bonobo only
ENSG00000302445.1	ENSG00000302445	1	1	1	0	1	0	True	True	75.0	0.7653061224489796	1.4642570116138207	1.0311563725507749	10.2255100027309	True	True	False	Strict in bonobo only
ENSG00000302452.1	ENSG00000302452	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000295735.1	ENSG00000295735	1	1	1	0	1	0	True	True	1.0	0.01020408163265306	0.013430878594405409	0.0	1.31622610225173	True	True	False	Strict in bonobo only
ENSG00000294282.1	ENSG00000294282	3	0	3	3	0	0	False	False	0.0	0.0	0.0	0.0	0.0	False	False	False	Not strict in bonobo
ENSG00000291005.2	NBPF25P	4	3	4	0	3	0	True	True	98.0	1.0	2.8286541451367686	2.207510263566725	10.6934545128741	True	True	False	Strict in bonobo only
ENSG00000284692.3	ENSG00000284692	4	4	4	0	4	0	True	True	98.0	1.0	22.955746371015824	14.91139243596765	109.399388132601	True	True	False	Strict in bonobo only
ENSG00000284666.1	ENSG00000284666	1	1	1	0	1	0	True	True	85.0	0.8673469387755102	18.124493978080892	11.34763853349585	94.6489987193187	True	True	False	Strict in bonobo only
ENSG00000260972.1	ENSG00000260972	1	1	1	1	1	1	True	True	85.0	0.8673469387755102	2.4635358295674474	1.672671616725565	9.76189364280906	True	True	True	Strict across all genomes
ENSG00000299325.1	ENSG00000299325	1	1	1	0	1	0	True	True	24.0	0.24489795918367346	1.0943020375727384	0.0	14.7912605541191	True	True	False	Strict in bonobo only
ENSG00000289893.2	ENSG00000289893	14	14	14	0	14	0	True	True	96.0	0.9795918367346939	2.305068700138054	1.428433358440845	13.5512525575927	True	True	False	Strict in bonobo only
ENSG00000295108.1	ENSG00000295108	1	1	1	0	1	0	True	True	16.0	0.16326530612244897	0.334889224545406	0.0	8.87773515496246	True	True	False	Strict in bonobo only
ENSG00000295122.1	ENSG00000295122	2	2	2	0	2	0	True	True	25.0	0.25510204081632654	0.41336294742206975	0.0	6.26395296234174	True	True	False	Strict in bonobo only
ENSG00000298180.1	ENSG00000298180	1	1	1	0	1	0	True	True	71.0	0.7244897959183674	8.184641092695845	4.2435450597730195	62.4823728114287	True	True	False	Strict in bonobo only
ENSG00000299539.1	ENSG00000299539	1	1	1	1	1	1	True	True	8.0	0.08163265306122448	0.4028090817077934	0.0	8.04968523315833	True	True	True	Strict across all genomes
ENSG00000302206.1	ENSG00000302206	2	1	2	0	1	0	True	True	98.0	1.0	2617.4695477198475	2384.2506028785347	8874.71143336914	True	True	False	Strict in bonobo only
ENSG00000226944.2	RNF207-AS1	2	2	2	0	2	0	True	True	98.0	1.0	69.38435487626784	55.778922046805505	216.930005748145	True	True	False	Strict in bonobo only
ENSG00000225077.4	ICMT-DT	13	13	13	13	13	13	True	True	98.0	1.0	15.070871070709616	13.69931948798715	44.6193343875097	True	True	True	Strict across all genomes
ENSG00000271746.1	ENSG00000271746	1	1	1	1	1	1	True	True	95.0	0.9693877551020408	19.42919237408362	13.14652389646595	108.552440257734	True	True	True	Strict across all genomes
ENSG00000231868.1	ENSG00000231868	1	1	1	0	1	0	True	True	79.0	0.8061224489795918	11.985188398044974	6.67572188688581	196.650731645549	True	True	False	Strict in bonobo only
ENSG00000297749.1	ENSG00000297749	1	1	1	0	1	0	True	True	30.0	0.30612244897959184	2.0601306860732587	0.0	24.8179947536744	True	True	False	Strict in bonobo only
ENSG00000299237.1	ENSG00000299237	1	1	1	1	1	1	True	True	77.0	0.7857142857142857	4.351266307135878	3.22454659593578	18.6387978257055	True	True	True	Strict across all genomes
ENSG00000299253.1	ENSG00000299253	1	1	1	1	1	1	True	True	34.0	0.3469387755102041	1.6320345611814628	0.0	15.9299563641856	True	True	True	Strict across all genomes
ENSG00000295286.1	ENSG00000295286	1	1	1	1	1	1	True	True	98.0	1.0	109.16785246737915	97.3824988328966	794.125472990187	True	True	True	Strict across all genomes
ENSG00000304810.1	ENSG00000304810	1	1	1	0	1	0	True	True	66.0	0.673469387755102	16.194732409848058	11.08678573615635	96.6701445093795	True	True	False	Strict in bonobo only
ENSG00000228750.8	LINC01672	8	8	8	6	8	6	True	True	88.0	0.8979591836734694	2.6681863826828924	1.68534106771797	16.6857398987457	True	True	True	Strict across all genomes
ENSG00000284744.1	ENSG00000284744	1	1	1	1	1	1	True	True	76.0	0.7755102040816326	3.718157324636599	2.4731410852857296	18.8835191907395	True	True	True	Strict across all genomes
ENSG00000237436.2	CAMTA1-DT	3	3	3	0	3	0	True	True	94.0	0.9591836734693877	10.2178716563279	8.450728393439585	34.6541699109412	True	True	False	Strict in bonobo only
ENSG00000237365.1	CAMTA1-AS3	1	1	1	0	1	0	True	True	6.0	0.061224489795918366	0.21448390237614795	0.0	6.94535257340921	True	True	False	Strict in bonobo only
ENSG00000310450.1	ENSG00000310450	1	1	1	0	1	0	True	True	71.0	0.7244897959183674	4.349570237630761	2.39609217738104	26.815547396236	True	True	False	Strict in bonobo only
ENSG00000237402.2	CAMTA1-IT1	4	4	4	2	4	2	True	True	80.0	0.8163265306122449	3.7030183880530063	2.52603858253143	20.3112231857324	True	True	True	Strict across all genomes
ENSG00000237728.3	CAMTA1-AS2	4	4	4	0	4	0	True	True	17.0	0.17346938775510204	0.16746611711830434	0.0	3.72711488565146	True	True	False	Strict in bonobo only
ENSG00000294314.1	ENSG00000294314	1	1	1	0	1	0	True	True	29.0	0.29591836734693877	1.0373729871364568	0.0	8.83584372966364	True	True	False	Strict in bonobo only
ENSG00000225126.2	CAMTA1-AS1	7	7	7	0	7	0	True	True	61.0	0.6224489795918368	2.7262114310384034	1.53246022496239	15.5868123098409	True	True	False	Strict in bonobo only
ENSG00000298973.1	ENSG00000298973	1	1	1	0	0	0	True	False	0.0	0.0	0.0	0.0	0.0	True	False	False	Not strict in bonobo
ENSG00000306883.1	ENSG00000306883	1	1	1	0	1	0	True	True	29.0	0.29591836734693877	1.2568875477852117	0.0	14.0587976595701	True	True	False	Strict in bonobo only
ENSG00000302704.1	ENSG00000302704	1	1	1	0	1	0	True	True	1.0	0.01020408163265306	0.04522715833430327	0.0	4.43226151676172	True	True	False	Strict in bonobo only
ENSG00000270171.1	ENSG00000270171	1	1	1	0	1	0	True	True	61.0	0.6224489795918368	1.1789112380637061	0.5174710975355735	8.78702578069427	True	True	False	Strict in bonobo only
ENSG00000270035.1	ENSG00000270035	1	1	1	0	1	0	True	True	65.0	0.6632653061224489	4.216897920190929	1.76837825063933	47.9791619856228	True	True	False	Strict in bonobo only
ENSG00000269978.2	ENSG00000269978	1	1	1	0	1	0	True	True	97.0	0.9897959183673469	13.502602608578984	10.9102098119265	90.7202981621692	True	True	False	Strict in bonobo only
ENSG00000300603.1	ENSG00000300603	2	2	2	0	2	0	True	True	30.0	0.30612244897959184	1.1201166604319424	0.0	18.1879469687968	True	True	False	Strict in bonobo only
ENSG00000269925.1	ENSG00000269925	1	1	1	1	1	1	True	True	85.0	0.8673469387755102	7.75519050139892	6.368314233809825	53.3092479781667	True	True	True	Strict across all genomes
ENSG00000236266.2	ENSG00000236266	2	2	2	0	2	0	True	True	98.0	1.0	57.27863751651411	48.9426471298627	305.739582240329	True	True	False	Strict in bonobo only
ENSG00000302605.1	ENSG00000302605	1	1	1	0	1	0	True	True	55.0	0.5612244897959183	4.55204533205791	2.600940922117065	47.38996523971	True	True	False	Strict in bonobo only
ENSG00000299004.1	ENSG00000299004	1	1	1	0	1	0	True	True	70.0	0.7142857142857143	1.8801444968023955	1.012289320662185	10.2199795855908	True	True	False	Strict in bonobo only
ENSG00000284747.1	ENSG00000284747	2	2	2	2	2	2	True	True	98.0	1.0	2.9289729112254386	2.4188761473558147	10.5295216092062	True	True	True	Strict across all genomes
ENSG00000284716.1	ENSG00000284716	1	1	1	0	1	0	True	True	84.0	0.8571428571428571	3.9936950375821025	3.2801524853362753	19.0605802421837	True	True	False	Strict in bonobo only
ENSG00000238290.2	ERRFI1-DT	25	25	25	24	25	24	True	True	98.0	1.0	2.1581272894369783	1.701894093846395	10.9519552561048	True	True	True	Strict across all genomes
ENSG00000301325.1	ENSG00000301325	4	4	4	0	4	0	True	True	52.0	0.5306122448979592	0.9500904727713602	0.4596498330196525	13.2686505428265	True	True	False	Strict in bonobo only
ENSG00000227634.4	LINC01714	42	42	42	24	42	24	True	True	90.0	0.9183673469387755	1.6854596900768066	1.0488445776258049	8.87156217193539	True	True	True	Strict across all genomes
