k_size	transcript_name	gene_name	gene_id	transcript_id	transcript_length	total_kmers	genome_count	strict_pass_count	basic_pass_count	min_matched_kmer_ratio	mean_matched_kmer_ratio	max_matched_kmer_ratio
22	ZNF667-AS1-210	ZNF667-AS1	ENSG00000166770.13	ENST00000654200.2	1081	1060	11	10	10	0.60566	0.93422	0.996226
24	ZNF667-AS1-210	ZNF667-AS1	ENSG00000166770.13	ENST00000654200.2	1081	1058	11	10	10	0.58034	0.936329	0.99811
15	ZNF667-AS1-211	ZNF667-AS1	ENSG00000166770.13	ENST00000654382.1	1503	1489	11	10	11	0.847549	0.975701	0.999328
18	ZNF667-AS1-211	ZNF667-AS1	ENSG00000166770.13	ENST00000654382.1	1503	1486	11	10	10	0.659489	0.94751	1.0
20	ZNF667-AS1-211	ZNF667-AS1	ENSG00000166770.13	ENST00000654382.1	1503	1484	11	10	10	0.641509	0.943764	0.997305
22	ZNF667-AS1-211	ZNF667-AS1	ENSG00000166770.13	ENST00000654382.1	1503	1482	11	10	10	0.612686	0.939149	0.997976
24	ZNF667-AS1-211	ZNF667-AS1	ENSG00000166770.13	ENST00000654382.1	1503	1480	11	10	10	0.591216	0.940356	0.997973
15	ZNF667-AS1-212	ZNF667-AS1	ENSG00000166770.13	ENST00000661902.2	917	903	11	10	11	0.839424	0.973623	0.998893
18	ZNF667-AS1-212	ZNF667-AS1	ENSG00000166770.13	ENST00000661902.2	917	900	11	10	10	0.644444	0.943939	0.998889
20	ZNF667-AS1-212	ZNF667-AS1	ENSG00000166770.13	ENST00000661902.2	917	898	11	10	10	0.620267	0.936728	0.996659
22	ZNF667-AS1-212	ZNF667-AS1	ENSG00000166770.13	ENST00000661902.2	917	896	11	10	10	0.620536	0.93608	0.99442
24	ZNF667-AS1-212	ZNF667-AS1	ENSG00000166770.13	ENST00000661902.2	917	894	11	10	10	0.553691	0.931971	0.996644
15	ZNF667-AS1-213	ZNF667-AS1	ENSG00000166770.13	ENST00000664785.1	1516	1502	11	11	11	0.888149	0.981479	0.999334
18	ZNF667-AS1-213	ZNF667-AS1	ENSG00000166770.13	ENST00000664785.1	1516	1499	11	10	10	0.681121	0.947177	0.998666
20	ZNF667-AS1-213	ZNF667-AS1	ENSG00000166770.13	ENST00000664785.1	1516	1497	11	10	10	0.654643	0.94322	0.997996
22	ZNF667-AS1-213	ZNF667-AS1	ENSG00000166770.13	ENST00000664785.1	1516	1495	11	10	10	0.608696	0.936759	0.997324
24	ZNF667-AS1-213	ZNF667-AS1	ENSG00000166770.13	ENST00000664785.1	1516	1493	11	10	10	0.588747	0.937709	0.99866
15	ZNF667-AS1-214	ZNF667-AS1	ENSG00000166770.13	ENST00000665045.1	3285	3271	11	11	11	0.862427	0.979183	0.999694
18	ZNF667-AS1-214	ZNF667-AS1	ENSG00000166770.13	ENST00000665045.1	3285	3268	11	10	10	0.650245	0.942612	0.99847
20	ZNF667-AS1-214	ZNF667-AS1	ENSG00000166770.13	ENST00000665045.1	3285	3266	11	10	10	0.618494	0.93829	0.998163
22	ZNF667-AS1-214	ZNF667-AS1	ENSG00000166770.13	ENST00000665045.1	3285	3264	11	10	10	0.627451	0.940202	0.999081
24	ZNF667-AS1-214	ZNF667-AS1	ENSG00000166770.13	ENST00000665045.1	3285	3262	11	10	10	0.61496	0.939635	0.99908
15	ZNF667-AS1-215	ZNF667-AS1	ENSG00000166770.13	ENST00000667367.1	5588	5574	11	11	11	0.883925	0.98524	0.999821
18	ZNF667-AS1-215	ZNF667-AS1	ENSG00000166770.13	ENST00000667367.1	5588	5571	11	10	10	0.63669	0.943392	0.99982
20	ZNF667-AS1-215	ZNF667-AS1	ENSG00000166770.13	ENST00000667367.1	5588	5569	11	10	10	0.624708	0.938458	0.999461
22	ZNF667-AS1-215	ZNF667-AS1	ENSG00000166770.13	ENST00000667367.1	5588	5567	11	10	10	0.618825	0.939171	0.999641
24	ZNF667-AS1-215	ZNF667-AS1	ENSG00000166770.13	ENST00000667367.1	5588	5565	11	10	10	0.608625	0.93892	0.999641
15	ZNF667-AS1-216	ZNF667-AS1	ENSG00000166770.13	ENST00000669162.3	1505	1491	11	10	11	0.847082	0.97555	0.998659
18	ZNF667-AS1-216	ZNF667-AS1	ENSG00000166770.13	ENST00000669162.3	1505	1488	11	10	10	0.659274	0.947275	0.999328
20	ZNF667-AS1-216	ZNF667-AS1	ENSG00000166770.13	ENST00000669162.3	1505	1486	11	10	10	0.645357	0.944818	1.0
22	ZNF667-AS1-216	ZNF667-AS1	ENSG00000166770.13	ENST00000669162.3	1505	1484	11	10	10	0.611186	0.939476	1.0
24	ZNF667-AS1-216	ZNF667-AS1	ENSG00000166770.13	ENST00000669162.3	1505	1482	11	10	10	0.590418	0.939946	0.999325
15	ZNF667-AS1-217	ZNF667-AS1	ENSG00000166770.13	ENST00000670294.2	2095	2081	11	10	11	0.785199	0.967017	0.999519
18	ZNF667-AS1-217	ZNF667-AS1	ENSG00000166770.13	ENST00000670294.2	2095	2078	11	10	10	0.628489	0.94164	1.0
20	ZNF667-AS1-217	ZNF667-AS1	ENSG00000166770.13	ENST00000670294.2	2095	2076	11	10	10	0.607418	0.937599	0.998073
22	ZNF667-AS1-217	ZNF667-AS1	ENSG00000166770.13	ENST00000670294.2	2095	2074	11	10	10	0.590646	0.935171	0.998071
24	ZNF667-AS1-217	ZNF667-AS1	ENSG00000166770.13	ENST00000670294.2	2095	2072	11	10	10	0.590734	0.938224	0.998552
15	ZNF667-AS1-218	ZNF667-AS1	ENSG00000166770.13	ENST00000685306.2	1130	1116	11	10	11	0.758065	0.961795	0.998208
18	ZNF667-AS1-218	ZNF667-AS1	ENSG00000166770.13	ENST00000685306.2	1130	1113	11	10	10	0.609164	0.939639	1.0
20	ZNF667-AS1-218	ZNF667-AS1	ENSG00000166770.13	ENST00000685306.2	1130	1111	11	10	10	0.59676	0.93593	0.9964
22	ZNF667-AS1-218	ZNF667-AS1	ENSG00000166770.13	ENST00000685306.2	1130	1109	11	10	10	0.600541	0.936142	0.997295
24	ZNF667-AS1-218	ZNF667-AS1	ENSG00000166770.13	ENST00000685306.2	1130	1107	11	10	10	0.570009	0.93422	0.995483
15	ZNF667-AS1-219	ZNF667-AS1	ENSG00000166770.13	ENST00000691191.1	1435	1421	11	11	11	0.859958	0.978632	1.0
18	ZNF667-AS1-219	ZNF667-AS1	ENSG00000166770.13	ENST00000691191.1	1435	1418	11	10	10	0.668547	0.948775	0.999295
20	ZNF667-AS1-219	ZNF667-AS1	ENSG00000166770.13	ENST00000691191.1	1435	1416	11	10	10	0.65113	0.946135	1.0
22	ZNF667-AS1-219	ZNF667-AS1	ENSG00000166770.13	ENST00000691191.1	1435	1414	11	10	10	0.62447	0.939823	0.999293
24	ZNF667-AS1-219	ZNF667-AS1	ENSG00000166770.13	ENST00000691191.1	1435	1412	11	10	10	0.595609	0.941347	0.998584
15	ZNF667-AS1-220	ZNF667-AS1	ENSG00000166770.13	ENST00000693493.3	771	757	11	10	11	0.805812	0.968056	0.998679
18	ZNF667-AS1-220	ZNF667-AS1	ENSG00000166770.13	ENST00000693493.3	771	754	11	10	10	0.635279	0.94273	0.996021
20	ZNF667-AS1-220	ZNF667-AS1	ENSG00000166770.13	ENST00000693493.3	771	752	11	10	10	0.621011	0.939434	0.994681
22	ZNF667-AS1-220	ZNF667-AS1	ENSG00000166770.13	ENST00000693493.3	771	750	11	10	10	0.638667	0.940727	0.996
24	ZNF667-AS1-220	ZNF667-AS1	ENSG00000166770.13	ENST00000693493.3	771	748	11	10	10	0.564171	0.934371	0.993316
15	ZNF667-AS1-221	ZNF667-AS1	ENSG00000166770.13	ENST00000809477.1	811	797	11	11	11	0.87202	0.976503	0.998745
18	ZNF667-AS1-221	ZNF667-AS1	ENSG00000166770.13	ENST00000809477.1	811	794	11	10	10	0.663728	0.943439	0.997481
20	ZNF667-AS1-221	ZNF667-AS1	ENSG00000166770.13	ENST00000809477.1	811	792	11	10	10	0.638889	0.938361	0.996212
22	ZNF667-AS1-221	ZNF667-AS1	ENSG00000166770.13	ENST00000809477.1	811	790	11	10	10	0.616456	0.935673	0.992405
24	ZNF667-AS1-221	ZNF667-AS1	ENSG00000166770.13	ENST00000809477.1	811	788	11	10	10	0.557107	0.93078	0.994924
15	ZNF667-AS1-222	ZNF667-AS1	ENSG00000166770.13	ENST00000809478.1	698	684	11	10	11	0.823099	0.969032	0.994152
18	ZNF667-AS1-222	ZNF667-AS1	ENSG00000166770.13	ENST00000809478.1	698	681	11	10	10	0.640235	0.945001	0.995595
20	ZNF667-AS1-222	ZNF667-AS1	ENSG00000166770.13	ENST00000809478.1	698	679	11	10	10	0.634757	0.943232	0.997054
22	ZNF667-AS1-222	ZNF667-AS1	ENSG00000166770.13	ENST00000809478.1	698	677	11	10	10	0.645495	0.940916	0.992614
24	ZNF667-AS1-222	ZNF667-AS1	ENSG00000166770.13	ENST00000809478.1	698	675	11	10	10	0.555556	0.935892	0.995556
15	ZNF667-AS1-223	ZNF667-AS1	ENSG00000166770.13	ENST00000809479.1	1398	1384	11	11	11	0.864884	0.978127	0.997832
18	ZNF667-AS1-223	ZNF667-AS1	ENSG00000166770.13	ENST00000809479.1	1398	1381	11	10	10	0.670529	0.948325	0.997828
20	ZNF667-AS1-223	ZNF667-AS1	ENSG00000166770.13	ENST00000809479.1	1398	1379	11	10	10	0.654822	0.946206	0.997099
22	ZNF667-AS1-223	ZNF667-AS1	ENSG00000166770.13	ENST00000809479.1	1398	1377	11	10	10	0.622367	0.93946	0.997095
24	ZNF667-AS1-223	ZNF667-AS1	ENSG00000166770.13	ENST00000809479.1	1398	1375	11	10	10	0.591273	0.940826	0.999273
15	ZNF667-AS1-224	ZNF667-AS1	ENSG00000166770.13	ENST00000809480.1	817	803	11	10	11	0.794521	0.966376	0.998755
18	ZNF667-AS1-224	ZNF667-AS1	ENSG00000166770.13	ENST00000809480.1	817	800	11	10	10	0.6175	0.940114	0.995
20	ZNF667-AS1-224	ZNF667-AS1	ENSG00000166770.13	ENST00000809480.1	817	798	11	10	10	0.609023	0.937799	0.994987
22	ZNF667-AS1-224	ZNF667-AS1	ENSG00000166770.13	ENST00000809480.1	817	796	11	10	10	0.623116	0.940155	0.998744
24	ZNF667-AS1-224	ZNF667-AS1	ENSG00000166770.13	ENST00000809480.1	817	794	11	10	10	0.562972	0.937028	0.997481
15	ZNF667-AS1-225	ZNF667-AS1	ENSG00000166770.13	ENST00000809481.1	766	752	11	10	11	0.793883	0.968206	0.99867
18	ZNF667-AS1-225	ZNF667-AS1	ENSG00000166770.13	ENST00000809481.1	766	749	11	10	10	0.634179	0.948295	0.998665
20	ZNF667-AS1-225	ZNF667-AS1	ENSG00000166770.13	ENST00000809481.1	766	747	11	10	10	0.615797	0.940611	0.997323
22	ZNF667-AS1-225	ZNF667-AS1	ENSG00000166770.13	ENST00000809481.1	766	745	11	10	10	0.621477	0.941794	0.995973
24	ZNF667-AS1-225	ZNF667-AS1	ENSG00000166770.13	ENST00000809481.1	766	743	11	10	10	0.557201	0.93662	0.995962
15	ZNF667-AS1-226	ZNF667-AS1	ENSG00000166770.13	ENST00000809482.1	695	681	11	10	11	0.832599	0.9725	1.0
18	ZNF667-AS1-226	ZNF667-AS1	ENSG00000166770.13	ENST00000809482.1	695	678	11	10	10	0.635693	0.942478	0.992625
20	ZNF667-AS1-226	ZNF667-AS1	ENSG00000166770.13	ENST00000809482.1	695	676	11	10	10	0.634615	0.942577	0.995562
22	ZNF667-AS1-226	ZNF667-AS1	ENSG00000166770.13	ENST00000809482.1	695	674	11	10	10	0.649852	0.941732	0.998516
24	ZNF667-AS1-226	ZNF667-AS1	ENSG00000166770.13	ENST00000809482.1	695	672	11	10	10	0.578869	0.939124	0.995536
15	ZNF667-AS1-227	ZNF667-AS1	ENSG00000166770.13	ENST00000809483.1	640	626	11	11	11	0.851438	0.974586	0.996805
18	ZNF667-AS1-227	ZNF667-AS1	ENSG00000166770.13	ENST00000809483.1	640	623	11	10	10	0.659711	0.943966	0.998395
20	ZNF667-AS1-227	ZNF667-AS1	ENSG00000166770.13	ENST00000809483.1	640	621	11	10	10	0.644122	0.942468	0.993559
22	ZNF667-AS1-227	ZNF667-AS1	ENSG00000166770.13	ENST00000809483.1	640	619	11	10	10	0.642973	0.939051	0.990307
24	ZNF667-AS1-227	ZNF667-AS1	ENSG00000166770.13	ENST00000809483.1	640	617	11	10	10	0.573744	0.933844	0.995138
