k_size	gene_name	associated_gene_ids	total_transcripts	strict_shared_transcripts_all_genomes	basic_shared_transcripts_all_genomes	strict_shared_gene_all_genomes	basic_shared_gene_all_genomes
15	ENSG00000273044	ENSG00000273044.1	1	0	1	False	True
15	ENSG00000299203	ENSG00000299203.1	5	3	5	True	True
15	ENSG00000299204	ENSG00000299204.1	4	4	4	True	True
15	ENSG00000299205	ENSG00000299205.1	4	4	4	True	True
15	ENSG00000273046	ENSG00000273046.1	1	0	0	False	False
15	ENSG00000299206	ENSG00000299206.1	14	3	14	True	True
15	FAM223A	ENSG00000279245.2	1	0	1	False	True
15	ENSG00000299207	ENSG00000299207.1	1	1	1	True	True
15	FAM223B	ENSG00000272681.3	1	0	1	False	True
15	DUXAP10	ENSG00000292986.2	120	112	120	True	True
15	ENSG00000299208	ENSG00000299208.1	2	2	2	True	True
15	ENSG00000299209	ENSG00000299209.1	1	0	1	False	True
15	ARHGEF35-AS1	ENSG00000244198.8	79	27	78	True	True
15	GLIS2-AS1	ENSG00000262686.2,ENSG00000282703.1	13	0	11	False	True
15	WDTC1-DT	ENSG00000224311.2	6	0	4	False	True
15	TMEM269-DT	ENSG00000293683.2	1	0	1	False	True
15	NQO2-AS1	ENSG00000224846.4	8	0	3	False	True
15	RUSC1-AS1	ENSG00000225855.8	22	0	12	False	True
15	SUGT1P3	ENSG00000290476.2	140	84	139	True	True
15	ENSG00000273920	ENSG00000273920.1	1	0	1	False	True
15	ENSG00000272600	ENSG00000272600.1	1	1	1	True	True
15	ENSG00000273925	ENSG00000273925.1	1	1	1	True	True
15	ENSG00000272609	ENSG00000272609.1	1	1	1	True	True
15	WASHC5-AS1	ENSG00000253167.1	1	1	1	True	True
15	ENSG00000274954	ENSG00000274954.1	1	1	1	True	True
15	ENSG00000272312	ENSG00000272312.1	1	1	1	True	True
15	ENSG00000244278	ENSG00000244278.1	1	1	1	True	True
15	ENSG00000273637	ENSG00000273637.1	1	0	1	False	True
15	TDRD6-AS1	ENSG00000242973.7	4	0	1	False	True
15	ENSG00000273639	ENSG00000273639.7	3	3	3	True	True
15	IL1R1-AS1	ENSG00000226925.2	6	6	6	True	True
15	TNRC18-AS1	ENSG00000188365.4	1	0	0	False	False
15	ENSG00000299500	ENSG00000299500.1	1	0	1	False	True
15	ENSG00000273341	ENSG00000273341.3	20	12	20	True	True
15	ENSG00000273342	ENSG00000273342.1	1	0	1	False	True
15	ENSG00000299501	ENSG00000299501.1	2	1	2	True	True
15	ENSG00000272021	ENSG00000272021.1	2	0	2	False	True
15	PLXNB3-AS1	ENSG00000232725.2	11	4	11	True	True
15	ENSG00000273343	ENSG00000273343.1	1	1	1	True	True
15	ENSG00000299502	ENSG00000299502.1	1	0	1	False	True
15	ENSG00000299503	ENSG00000299503.1	3	0	3	False	True
15	ENSG00000299504	ENSG00000299504.1	1	0	1	False	True
15	ENSG00000272024	ENSG00000272024.1	1	1	1	True	True
15	ENSG00000274667	ENSG00000274667.1	1	1	1	True	True
15	ENSG00000299505	ENSG00000299505.1	1	1	1	True	True
15	ENSG00000299506	ENSG00000299506.1	1	0	0	False	False
15	ENSG00000299507	ENSG00000299507.1	1	0	1	False	True
15	ENSG00000273348	ENSG00000273348.1	1	0	1	False	True
15	ENSG00000272027	ENSG00000272027.2	2	2	2	True	True
15	NOP53-AS1	ENSG00000269656.2	3	0	3	False	True
15	ENSG00000299508	ENSG00000299508.1	1	1	1	True	True
15	ENSG00000299509	ENSG00000299509.1	1	0	1	False	True
15	ENSG00000274370	ENSG00000274370.1	1	0	1	False	True
15	ENSG00000299210	ENSG00000299210.1	2	0	0	False	False
15	ENSG00000274372	ENSG00000274372.6	46	45	46	True	True
15	ANXA2R-OT1	ENSG00000177738.7	89	89	89	True	True
15	ENSG00000299211	ENSG00000299211.1	3	3	3	True	True
15	ENSG00000274373	ENSG00000274373.1	1	0	1	False	True
15	ENSG00000299212	ENSG00000299212.1	2	2	2	True	True
15	ENSG00000299213	ENSG00000299213.1	1	1	1	True	True
15	ENSG00000299214	ENSG00000299214.1	1	1	1	True	True
15	ENSG00000273055	ENSG00000273055.2	2	1	2	True	True
15	ENSG00000299215	ENSG00000299215.1	1	0	1	False	True
15	ENSG00000273056	ENSG00000273056.1	1	0	1	False	True
15	ENSG00000299216	ENSG00000299216.1	2	1	2	True	True
15	FAM224A	ENSG00000233522.2	22	1	14	True	True
15	ENSG00000274379	ENSG00000274379.1	1	0	1	False	True
15	ENSG00000299217	ENSG00000299217.1	3	3	3	True	True
15	ENSG00000273058	ENSG00000273058.2	1	0	1	False	True
15	FAM224B	ENSG00000230663.2	32	1	19	True	True
15	ENSG00000299218	ENSG00000299218.1	2	1	2	True	True
15	ENSG00000273059	ENSG00000273059.1	1	0	1	False	True
15	ENSG00000299219	ENSG00000299219.1	1	1	1	True	True
15	ENSG00000274080	ENSG00000274080.1	1	1	1	True	True
15	LRRTM4-AS1	ENSG00000234653.1	1	1	1	True	True
15	MDS2	ENSG00000197880.11	7	7	7	True	True
15	ENSG00000243230	ENSG00000243230.1	1	1	1	True	True
15	ENSG00000272905	ENSG00000272905.1	1	1	1	True	True
15	ENSG00000272906	ENSG00000272906.2	1	0	0	False	False
15	ENSG00000272907	ENSG00000272907.1	1	0	1	False	True
15	RPL29P2	ENSG00000293140.1	1	0	1	False	True
15	ENSG00000272908	ENSG00000272908.1	1	1	1	True	True
15	ENSG00000272909	ENSG00000272909.1	1	1	1	True	True
15	PNRC1-DT	ENSG00000271931.1	1	0	1	False	True
15	HSPB8-AS1	ENSG00000256609.2	1	1	1	True	True
15	ENSG00000269102	ENSG00000269102.1	1	0	1	False	True
15	TMEM109-DT	ENSG00000256944.2	4	0	4	False	True
15	ENSG00000269106	ENSG00000269106.1	1	0	0	False	False
15	ENSG00000269107	ENSG00000269107.1	1	1	1	True	True
15	KCNJ5-AS1	ENSG00000174370.13	5	0	5	False	True
15	ENSG00000299800	ENSG00000299800.1	1	0	1	False	True
15	ENSG00000272320	ENSG00000272320.1	1	0	1	False	True
15	ENSG00000299801	ENSG00000299801.1	1	0	1	False	True
15	ENSG00000272321	ENSG00000272321.1	1	0	1	False	True
15	ENSG00000299802	ENSG00000299802.1	3	0	2	False	True
15	ENSG00000274964	ENSG00000274964.1	1	1	1	True	True
15	ENSG00000299803	ENSG00000299803.1	1	0	1	False	True
15	ENSG00000299804	ENSG00000299804.1	2	0	2	False	True
15	ENSG00000299805	ENSG00000299805.1	2	2	2	True	True
15	GOLGA8IP	ENSG00000291261.2,ENSG00000290526.1	12	3	12	True	True
15	ENSG00000299806	ENSG00000299806.1	1	0	1	False	True
15	RPL30-AS1	ENSG00000245970.2	1	1	1	True	True
15	ENSG00000299807	ENSG00000299807.1	1	1	1	True	True
15	ENSG00000299808	ENSG00000299808.1	3	0	0	False	False
15	ENSG00000272328	ENSG00000272328.2	5	4	5	True	True
15	ENSG00000299809	ENSG00000299809.1	2	2	2	True	True
15	ENSG00000272329	ENSG00000272329.1	2	0	2	False	True
15	ENSG00000271009	ENSG00000271009.3	1	1	1	True	True
15	ENSG00000274670	ENSG00000274670.1	1	0	1	False	True
15	ENSG00000173862	ENSG00000173862.4	3	0	3	False	True
15	ENSG00000273350	ENSG00000273350.1	1	1	1	True	True
15	ENSG00000299510	ENSG00000299510.1	2	0	1	False	True
15	CAVIN2-AS1	ENSG00000233766.9	25	25	25	True	True
15	ENSG00000299511	ENSG00000299511.1	1	1	1	True	True
15	SLC7A11-AS1	ENSG00000250033.6	10	10	10	True	True
15	ENSG00000273353	ENSG00000273353.1	1	1	1	True	True
15	ENSG00000299512	ENSG00000299512.1	2	2	2	True	True
15	ENSG00000299513	ENSG00000299513.1	6	6	6	True	True
15	ENSG00000272033	ENSG00000272033.1	1	1	1	True	True
15	ENSG00000273355	ENSG00000273355.3	3	0	3	False	True
15	ENSG00000299514	ENSG00000299514.1	1	1	1	True	True
15	ENSG00000274677	ENSG00000274677.1	1	0	1	False	True
15	DOCK8-AS1	ENSG00000183784.7	2	0	2	False	True
15	ENSG00000299515	ENSG00000299515.1	1	0	1	False	True
15	ENSG00000274678	ENSG00000274678.1	1	0	1	False	True
15	DOCK8-AS2	ENSG00000227155.8	17	5	17	True	True
15	ENSG00000299516	ENSG00000299516.1	3	2	3	True	True
15	ENSG00000299517	ENSG00000299517.1	1	0	1	False	True
15	ENSG00000272037	ENSG00000272037.1	1	1	1	True	True
15	BMP7-AS1	ENSG00000235032.2	2	0	2	False	True
15	ENSG00000299518	ENSG00000299518.1	1	1	1	True	True
15	ENSG00000299519	ENSG00000299519.1	1	1	1	True	True
15	ENSG00000299220	ENSG00000299220.1	1	0	1	False	True
15	ENSG00000274383	ENSG00000274383.1	1	1	1	True	True
15	ENSG00000299221	ENSG00000299221.1	1	0	1	False	True
15	ENSG00000299222	ENSG00000299222.1	1	1	1	True	True
15	ENSG00000273063	ENSG00000273063.1	1	1	1	True	True
15	ENSG00000299223	ENSG00000299223.1	2	2	2	True	True
15	ENSG00000273064	ENSG00000273064.1	1	1	1	True	True
15	ENSG00000299224	ENSG00000299224.1	1	1	1	True	True
15	ENSG00000299225	ENSG00000299225.1	1	0	1	False	True
15	ENSG00000273066	ENSG00000273066.5	2	0	0	False	False
15	ENSG00000274387	ENSG00000274387.1	1	1	1	True	True
15	ENSG00000299226	ENSG00000299226.1	1	1	1	True	True
15	ENSG00000273068	ENSG00000273068.1	1	0	1	False	True
15	ENSG00000299227	ENSG00000299227.1	2	1	1	True	True
15	FAM225A	ENSG00000231528.4	9	2	8	True	True
15	ENSG00000299228	ENSG00000299228.1	2	0	1	False	True
15	ENSG00000273069	ENSG00000273069.1	1	0	1	False	True
15	FAM225B	ENSG00000225684.5	8	0	6	False	True
15	ENSG00000299229	ENSG00000299229.1	2	0	2	False	True
15	SIX3-AS1	ENSG00000236502.4	7	0	6	False	True
15	ENSG00000274090	ENSG00000274090.2	25	25	25	True	True
15	ENSG00000274092	ENSG00000274092.1	1	0	0	False	False
15	ENSG00000274093	ENSG00000274093.1	1	1	1	True	True
15	USP7-AS1	ENSG00000260979.2	4	0	3	False	True
15	ENSG00000272910	ENSG00000272910.1	1	1	1	True	True
15	ENSG00000272911	ENSG00000272911.2	1	0	1	False	True
15	ENSG00000272912	ENSG00000272912.1	1	1	1	True	True
15	ENSG00000269400	ENSG00000269400.1	1	0	1	False	True
15	ENSG00000272914	ENSG00000272914.1	1	0	1	False	True
15	ENSG00000272915	ENSG00000272915.1	1	1	1	True	True
15	ENSG00000243243	ENSG00000243243.5	2	2	2	True	True
15	ENSG00000243245	ENSG00000243245.1	1	1	1	True	True
15	ENSG00000272918	ENSG00000272918.1	1	1	1	True	True
15	UQCRB-AS1	ENSG00000254224.3	6	0	5	False	True
15	ENSG00000272622	ENSG00000272622.3	19	19	19	True	True
15	ENSG00000269110	ENSG00000269110.1	1	1	1	True	True
15	ENSG00000272625	ENSG00000272625.1	1	0	1	False	True
15	ENSG00000272626	ENSG00000272626.2	2	2	2	True	True
15	ENSG00000272627	ENSG00000272627.1	1	1	1	True	True
15	NCKAP5-IT1	ENSG00000232474.1	1	1	1	True	True
15	ENSG00000273650	ENSG00000273650.1	1	1	1	True	True
15	ENSG00000272330	ENSG00000272330.1	1	1	1	True	True
15	ENSG00000299810	ENSG00000299810.1	1	1	1	True	True
15	ENSG00000299811	ENSG00000299811.1	1	0	0	False	False
15	GUSBP1	ENSG00000291102.2	97	27	90	True	True
15	ENSG00000299812	ENSG00000299812.1	1	1	1	True	True
15	ENSG00000271011	ENSG00000271011.1	1	1	1	True	True
15	GUSBP3	ENSG00000290560.2,ENSG00000290471.1	54	44	54	True	True
15	ENSG00000299813	ENSG00000299813.1	1	1	1	True	True
15	HSPA2-AS1	ENSG00000259116.3	5	1	5	True	True
15	ENSG00000299814	ENSG00000299814.1	1	0	0	False	False
15	ENSG00000272334	ENSG00000272334.1	1	0	1	False	True
15	ENSG00000274976	ENSG00000274976.1	1	1	1	True	True
15	GUSBP5	ENSG00000251600.10	75	75	75	True	True
15	ENSG00000299815	ENSG00000299815.1	2	2	2	True	True
15	ENSG00000272335	ENSG00000272335.1	1	1	1	True	True
15	ENSG00000299816	ENSG00000299816.1	4	0	3	False	True
15	ENSG00000299817	ENSG00000299817.1	2	0	2	False	True
15	ENSG00000274979	ENSG00000274979.1	1	1	1	True	True
15	MRPS30-DT	ENSG00000251141.7	32	32	32	True	True
15	ENSG00000273659	ENSG00000273659.1	1	1	1	True	True
15	H2AZ1-DT	ENSG00000245322.9	25	25	25	True	True
15	ENSG00000299818	ENSG00000299818.1	2	1	2	True	True
15	ENSG00000272338	ENSG00000272338.2	1	1	1	True	True
15	ENSG00000299819	ENSG00000299819.1	2	1	2	True	True
15	ENSG00000273360	ENSG00000273360.2	2	0	2	False	True
15	ENSG00000299520	ENSG00000299520.1	1	0	1	False	True
15	ENSG00000273361	ENSG00000273361.2	1	0	0	False	False
15	ENSG00000274682	ENSG00000274682.1	1	1	1	True	True
15	ENSG00000273362	ENSG00000273362.1	1	0	0	False	False
15	ENSG00000298200	ENSG00000298200.1	1	0	1	False	True
15	ENSG00000299521	ENSG00000299521.1	2	0	0	False	False
15	SLC16A1-AS1	ENSG00000226419.10	54	54	54	True	True
15	ENSG00000299522	ENSG00000299522.1	1	0	1	False	True
15	ENSG00000298201	ENSG00000298201.1	2	0	2	False	True
15	ENSG00000298202	ENSG00000298202.1	1	0	0	False	False
15	ENSG00000299523	ENSG00000299523.1	1	1	1	True	True
15	ENSG00000272043	ENSG00000272043.3	1	0	0	False	False
15	ENSG00000274685	ENSG00000274685.2	1	1	1	True	True
15	ENSG00000298203	ENSG00000298203.1	1	1	1	True	True
15	ENSG00000299524	ENSG00000299524.1	5	4	5	True	True
15	ENSG00000273365	ENSG00000273365.1	1	1	1	True	True
15	ENSG00000298204	ENSG00000298204.1	1	0	1	False	True
15	ENSG00000299525	ENSG00000299525.1	1	0	1	False	True
15	ENSG00000298205	ENSG00000298205.1	2	0	2	False	True
15	ENSG00000299526	ENSG00000299526.1	2	0	2	False	True
15	ENSG00000272046	ENSG00000272046.1	1	1	1	True	True
15	ENSG00000273367	ENSG00000273367.1	1	1	1	True	True
15	ENSG00000273368	ENSG00000273368.1	1	1	1	True	True
15	ENSG00000299527	ENSG00000299527.1	1	1	1	True	True
15	ENSG00000298206	ENSG00000298206.1	3	3	3	True	True
15	ENSG00000298207	ENSG00000298207.1	5	4	5	True	True
15	ENSG00000299528	ENSG00000299528.1	1	0	1	False	True
15	ENSG00000273369	ENSG00000273369.1	1	1	1	True	True
15	ENSG00000298208	ENSG00000298208.1	1	1	1	True	True
15	ENSG00000299529	ENSG00000299529.1	1	0	0	False	False
15	ENSG00000298209	ENSG00000298209.1	1	1	1	True	True
15	ENSG00000299230	ENSG00000299230.1	1	1	1	True	True
15	ENSG00000299231	ENSG00000299231.1	1	0	1	False	True
15	ENSG00000299232	ENSG00000299232.1	2	1	2	True	True
15	ENSG00000273073	ENSG00000273073.1	1	1	1	True	True
15	ENSG00000299233	ENSG00000299233.1	2	2	2	True	True
15	ENSG00000299234	ENSG00000299234.1	4	2	4	True	True
15	SERTAD4-AS1	ENSG00000203706.10,ENSG00000280963.2	13	3	11	True	True
15	ENSG00000273076	ENSG00000273076.1	1	1	1	True	True
15	ENSG00000299235	ENSG00000299235.1	2	2	2	True	True
15	CASP4LP	ENSG00000291173.2,ENSG00000291985.1	30	5	30	True	True
15	ENSG00000299236	ENSG00000299236.1	7	3	7	True	True
15	ENSG00000273077	ENSG00000273077.2	7	1	7	True	True
15	ENSG00000299237	ENSG00000299237.1	1	1	1	True	True
15	FAM226B	ENSG00000269911.1	1	0	1	False	True
15	ENSG00000299238	ENSG00000299238.1	3	0	3	False	True
15	MIR34BHG	ENSG00000286028.2	2	0	2	False	True
15	ENSG00000299239	ENSG00000299239.1	1	1	1	True	True
15	ARIH2OS	ENSG00000221883.6	1	0	0	False	False
15	SNAP47-AS1	ENSG00000230005.2	1	0	1	False	True
15	ENSG00000269707	ENSG00000269707.3	19	19	19	True	True
15	CRTC3-AS1	ENSG00000259736.2	19	2	19	True	True
15	ENSG00000243252	ENSG00000243252.1	1	1	1	True	True
15	HSD17B7P2	ENSG00000290439.2	4	4	4	True	True
15	ENSG00000272927	ENSG00000272927.2	3	3	3	True	True
15	PTPRN2-AS1	ENSG00000233038.8	4	0	3	False	True
15	ENSG00000273951	ENSG00000273951.1	1	1	1	True	True
15	ENSG00000272630	ENSG00000272630.1	1	1	1	True	True
15	ENSG00000272631	ENSG00000272631.2	4	0	4	False	True
15	ENSG00000272632	ENSG00000272632.1	1	1	1	True	True
15	EPHA1-AS1	ENSG00000229153.8,ENSG00000285468.1	45	29	45	True	True
15	ENSG00000273956	ENSG00000273956.2	3	0	3	False	True
15	ENSG00000271314	ENSG00000271314.1	1	0	1	False	True
15	ENSG00000273958	ENSG00000273958.1	1	0	0	False	False
15	FAM182A	ENSG00000125804.15	119	15	99	True	True
15	ENSG00000269124	ENSG00000269124.1	1	1	1	True	True
15	ENSG00000272638	ENSG00000272638.1	1	0	1	False	True
15	FAM182B	ENSG00000175170.17	132	4	69	True	True
15	FGF12-AS1	ENSG00000231383.2	2	2	2	True	True
15	ENSG00000269125	ENSG00000269125.1	1	0	0	False	False
15	FGF12-AS2	ENSG00000230126.1	1	1	1	True	True
15	FGF12-AS3	ENSG00000226709.1	1	1	1	True	True
15	ENSG00000299820	ENSG00000299820.1	1	0	0	False	False
15	ENSG00000299821	ENSG00000299821.1	1	1	1	True	True
15	ENSG00000298500	ENSG00000298500.1	1	1	1	True	True
15	ENSG00000298501	ENSG00000298501.1	2	2	2	True	True
15	ENSG00000299822	ENSG00000299822.1	1	1	1	True	True
15	KIF26B-AS1	ENSG00000232192.1	1	0	1	False	True
15	ENSG00000298502	ENSG00000298502.1	5	5	5	True	True
15	ENSG00000273664	ENSG00000273664.1	1	0	1	False	True
15	ENSG00000299823	ENSG00000299823.1	1	0	1	False	True
15	ENSG00000272343	ENSG00000272343.1	1	0	1	False	True
15	ENSG00000298503	ENSG00000298503.1	6	3	6	True	True
15	ENSG00000299824	ENSG00000299824.1	1	0	0	False	False
15	ELN-AS1	ENSG00000232415.3	1	1	1	True	True
15	ENSG00000298504	ENSG00000298504.1	4	1	4	True	True
15	ENSG00000299825	ENSG00000299825.1	2	2	2	True	True
15	ENSG00000272345	ENSG00000272345.1	1	1	1	True	True
15	ENSG00000274987	ENSG00000274987.1	1	1	1	True	True
15	ENSG00000299826	ENSG00000299826.1	1	0	1	False	True
15	ENSG00000298505	ENSG00000298505.1	12	10	12	True	True
15	ENSG00000298506	ENSG00000298506.1	1	1	1	True	True
15	ENSG00000299827	ENSG00000299827.1	2	2	2	True	True
15	ENSG00000272347	ENSG00000272347.1	1	1	1	True	True
15	ENSG00000273669	ENSG00000273669.1	1	1	1	True	True
15	ENSG00000298507	ENSG00000298507.1	1	1	1	True	True
15	ENSG00000299828	ENSG00000299828.1	1	0	0	False	False
15	ENSG00000214770	ENSG00000214770.3	3	2	3	True	True
15	ENSG00000298508	ENSG00000298508.1	4	4	4	True	True
15	ENSG00000299829	ENSG00000299829.1	2	0	2	False	True
15	ENSG00000298509	ENSG00000298509.1	2	0	2	False	True
15	ENSG00000214773	ENSG00000214773.1	1	1	1	True	True
15	ENSG00000272050	ENSG00000272050.1	1	0	0	False	False
15	ENSG00000299530	ENSG00000299530.1	1	0	1	False	True
15	ENSG00000298210	ENSG00000298210.1	1	1	1	True	True
15	ENSG00000299531	ENSG00000299531.1	12	3	12	True	True
15	ENSG00000298211	ENSG00000298211.1	1	1	1	True	True
15	ENSG00000299532	ENSG00000299532.1	1	1	1	True	True
15	MRPS31P5	ENSG00000291010.2	34	16	30	True	True
15	ENSG00000298212	ENSG00000298212.1	3	0	2	False	True
15	ENSG00000299533	ENSG00000299533.1	1	0	1	False	True
15	ENSG00000274695	ENSG00000274695.1	1	1	1	True	True
15	ENSG00000298213	ENSG00000298213.1	1	0	1	False	True
15	ENSG00000299534	ENSG00000299534.1	1	1	1	True	True
15	ENSG00000272054	ENSG00000272054.1	1	1	1	True	True
15	ENSG00000273375	ENSG00000273375.1	1	1	1	True	True
15	ENSG00000298214	ENSG00000298214.1	1	1	1	True	True
15	ENSG00000239300	ENSG00000239300.7	5	5	5	True	True
15	ENSG00000299535	ENSG00000299535.1	1	1	1	True	True
15	ATP2C2-AS1	ENSG00000261286.1	1	0	1	False	True
15	ENSG00000274698	ENSG00000274698.1	1	1	1	True	True
15	ENSG00000298215	ENSG00000298215.1	2	2	2	True	True
15	ENSG00000299536	ENSG00000299536.1	7	7	7	True	True
15	ENSG00000272056	ENSG00000272056.1	1	0	1	False	True
15	ENSG00000298216	ENSG00000298216.1	1	0	1	False	True
15	ENSG00000299537	ENSG00000299537.1	1	0	1	False	True
15	ENSG00000242816	ENSG00000242816.3	10	10	10	True	True
15	PTPRC-AS1	ENSG00000261573.2,ENSG00000262237.1	3	3	3	True	True
15	ENSG00000299538	ENSG00000299538.1	1	1	1	True	True
15	ENSG00000298217	ENSG00000298217.1	2	1	2	True	True
15	ENSG00000298218	ENSG00000298218.1	2	2	2	True	True
15	ENSG00000299539	ENSG00000299539.1	1	1	1	True	True
15	ENSG00000298219	ENSG00000298219.1	6	0	6	False	True
15	ENSG00000273080	ENSG00000273080.3	1	1	1	True	True
15	ADAM3A	ENSG00000293380.1	8	1	8	True	True
15	ENSG00000299240	ENSG00000299240.1	6	3	6	True	True
15	ENSG00000299241	ENSG00000299241.1	3	0	3	False	True
15	ENSG00000299242	ENSG00000299242.1	3	0	3	False	True
15	ENSG00000299243	ENSG00000299243.1	1	1	1	True	True
15	ENSG00000299244	ENSG00000299244.1	2	2	2	True	True
15	ENSG00000299245	ENSG00000299245.1	1	0	1	False	True
15	ENSG00000299246	ENSG00000299246.1	3	0	3	False	True
15	ENSG00000299247	ENSG00000299247.1	2	0	0	False	False
15	ENSG00000299248	ENSG00000299248.1	1	1	1	True	True
15	ENSG00000299249	ENSG00000299249.1	7	0	7	False	True
15	ENSG00000271901	ENSG00000271901.3	3	0	3	False	True
15	ENSG00000272936	ENSG00000272936.1	1	1	1	True	True
15	KDM5C-IT1	ENSG00000235262.1	1	1	1	True	True
15	SSR4P1	ENSG00000293210.2	9	1	7	True	True
15	ENSG00000269425	ENSG00000269425.1	1	0	0	False	False
15	ENSG00000269427	ENSG00000269427.1	2	0	2	False	True
15	BMP8B-AS1	ENSG00000285905.1	1	1	1	True	True
15	ENSG00000268108	ENSG00000268108.1	1	0	1	False	True
15	PYY2	ENSG00000290671.2	2	0	0	False	False
15	ENSG00000298800	ENSG00000298800.1	6	2	6	True	True
15	ENSG00000271320	ENSG00000271320.1	1	1	1	True	True
15	ENSG00000270000	ENSG00000270000.1	1	0	1	False	True
15	ENSG00000298801	ENSG00000298801.1	1	1	1	True	True
15	ENSG00000272642	ENSG00000272642.2	2	1	2	True	True
15	ENSG00000270001	ENSG00000270001.1	1	1	1	True	True
15	ENSG00000298802	ENSG00000298802.1	4	0	4	False	True
15	ENSG00000273965	ENSG00000273965.1	1	1	1	True	True
15	ENSG00000298803	ENSG00000298803.1	1	0	1	False	True
15	ENSG00000298804	ENSG00000298804.1	1	0	1	False	True
15	ENSG00000298805	ENSG00000298805.1	2	0	2	False	True
15	PSMD3-AS1	ENSG00000265799.2	3	2	3	True	True
15	ENSG00000272646	ENSG00000272646.1	1	0	1	False	True
15	ENSG00000298806	ENSG00000298806.1	7	1	7	True	True
15	ENSG00000298807	ENSG00000298807.1	1	0	1	False	True
15	ENSG00000271327	ENSG00000271327.1	1	1	1	True	True
15	HEXD-IT1	ENSG00000279066.1	1	1	1	True	True
15	ENSG00000298808	ENSG00000298808.1	1	1	1	True	True
15	ENSG00000298809	ENSG00000298809.1	1	1	1	True	True
15	ENSG00000270008	ENSG00000270008.1	1	0	1	False	True
15	ENSG00000269139	ENSG00000269139.3	3	0	0	False	False
15	ENSG00000299830	ENSG00000299830.1	1	0	1	False	True
15	ENSG00000298510	ENSG00000298510.1	2	2	2	True	True
15	ENSG00000299831	ENSG00000299831.1	4	3	4	True	True
15	ENSG00000274993	ENSG00000274993.1	2	0	2	False	True
